Company Name,Website Link,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size
Greaves West & Ayre,gwayre.co.uk,I - IFA,No,,
Mission Financial Planning Limited,missionfinancial.co.uk,I - IFA,No,1-10,1
Tyne & Tweed Mortgage & Investment Services,tyneandtweed.co.uk,I - IFA,No,,
Port Brae Associates Ltd,portbrae.co.uk,I - IFA,No,1-10,1
Watson Financial Planning Ltd,watsonfinancialplanning.co.uk,I - IFA,No,,
Leet Financial Planning Limited,,,,,
Hedgehope Limited,hedgehope.co.uk,I - IFA,No,,
Middlemiss & Associates Limited,middlemissandassociates.co.uk,I - IFA,No,1-10,3
Alan Ellis Financial Services Limited,aefsl.co.uk,I - IFA,No,,
Murrow Wealth Management Limited,murrowwealthmanagement.co.uk,I - IFA,No,,1
Rachel Stewart,traprainfinancial.co.uk,I - IFA,No,,
Bell Financial Planning Limited,bellfinancialplanning.co.uk,I - IFA,No,1-10,3
Brett Investment Ltd,brettinvestment.com,I - IFA,No,1-10,2
Karen Richardson Financial Services Limited,krfinancialservices.co.uk,I - IFA,No,,
O'Sullivan Associates,ifa-lothians.com,I - IFA,No,,
Burt Financial Planning Ltd,burtfinancialplanning.co.uk,I - IFA,No,,
Wilson Financial Advice Ltd,wilsonfinancialadvice.co.uk,I - IFA,No,,
William White,billwhiteifa.co.uk,I - IFA,No,,1
Lowland Financial Services Limited,lowlandfinancial.co.uk,I - IFA,No,,6
Jamieson Financial Planning Ltd,jamiesonfp.co.uk,I - IFA,No,,
Alistair Young Financial Ltd,alistairyoung.2plan.com,I - IFA,No,201-500,323
Miller Associates Limited,millerassociates.co.uk,I - IFA,No,,
G & S Investment & Mortgages Ltd,gs-inv-mort.co.uk,I - IFA,No,,
MONEY ADVICE PARTNERSHIP LTD,moneyadvicepartnership.co.uk,I - IFA,No,11-50,5
CFind (Scotland) Ltd,,,,,
McInroy & Wood Ltd,mcinroy-wood.co.uk,I - DFM without Centralised Research; I - Asset Manager without Multi-Asset; I - IFA,No,51-200,51
A & K Financial Management Limited,akfm.co.uk,I - IFA,No,,
Cathcart Financial Planning Limited,,,,,
Fidra Wealth Management Ltd,fidrawealth.com,I - IFA,No,,
Tweedside Financial Services Ltd,,,,,
Heard Hamilton Financial Planning Ltd,heardhamilton.co.uk,I - IFA,No,,1
ERG Financial Planning Limited,ergfinancialplanning.com,I - IFA,No,,
Chris Ness Wealth Management Limited,chrisnesswm.co.uk,I - IFA,No,,
Niven Financial Ltd,nivenfinancial.co.uk,I - IFA,No,,
Broadmeadows Financial Planning Ltd,mandgwealth.com/broadmeadowsfinancialplanning,I - IFA,No,"5,001-10,000",2710
Deans Investment Advisors LLP,deansca.co.uk,I - IFA,No,11-50,28
Optimal Financial Solutions Ltd,optimalfinancial.co.uk,I - IFA,No,,
Joseph Donkin,partnership.sjp.co.uk/partner/josephdonkin,I - IFA,No,"1,001-5,000",3514
