Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,Chervin Dell,,,,,
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,Tom Buck,,,,,
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,Calder Financial Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,GHC Wealth Management Limited,I - IFA,No,1-10,8,ghcwealth.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,Accomplished Financial Solutions Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,JND Mortgages Limited,,,,,
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,Stepping Stones Financial Solutions Limited,I - IFA,No,11-50,5,steppingstonesfp.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,Sovereign Financial Planners Limited,I - IFA,No,,,sovereign-planners.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,M3 Financial Solutions Limited,I - IFA,No,,,m3ltd.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,Ingenious Financial Solutions Limited,I - IFA,No,1-10,5,ingeniousfs.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,Eastlake & Beachell Limited,I - IFA,No,11-50,12,eastlakebeachell.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,Michael Ambrose Limited,I - IFA,No,11-50,9,michaelambrose.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,PSC UK INSURANCE BROKERS LIMITED,I - IFA,No,,,pscinsurance.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,WILLDAY WEALTH MANAGEMENT LIMITED,I - IFA,No,1-10,5,willdaywm.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=1&pl_m=40,Ashton Financial Planning Ltd.,I - IFA,No,,,ashtonbusiness.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Clear Sky Financial Consulting Ltd,I - IFA,No,,,clearskyadvice.com
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Clear Sky Mortgage Solutions Ltd,I - IFA,No,,,clearskyadvice.com
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Richardson Wealth Associates Ltd,I - IFA,No,,,richardsonwealth.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Westerby Investment Management Limited,I - IFA,No,11-50,13,westerby-investment.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,BPC Wealth Management Ltd,I - IFA,No,,,bpcwealth.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,TM Asset Management Limited,I - IFA,No,1-10,6,tmam.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Gateway Financial Advisers (UK) Ltd,I - IFA,No,,,gfa-advisers.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,The Finance Lab Ltd,I - IFA,No,1-10,4,financelab.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Pathfinder Financial Planning Ltd,I - IFA,No,,,pathfinderfp.com
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,MNM Financial Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Essential Financial Advisers LLP,I - IFA,No,1-10,2,essential-fa.com
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Eamonn Cassidy Wealth Management Limited,I - IFA,No,,,eamonncassidy.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Bespoke Benefit Solutions Limited,I - IFA,No,1-10,5,bespokebenefits.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Heritage Wealth Advisory Ltd,I - IFA,No,1-10,3,heritagewealthadvisory.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=2&pl_m=40,Fair Financial Limited,I - IFA,No,,1,fairfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=3&pl_m=40,ANCASURE LTD,,,,,
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=3&pl_m=40,Asset Intelligence Portfolio Management Limited,I - IFA,No,11-50,18,asset-intelligence.com
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=3&pl_m=40,C D G Financial Services Limited,I - IFA,No,1-10,4,cdgfs.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=3&pl_m=40,Furnley House Limited,I - IFA,No,11-50,47,furnleyhouse.co.uk
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=3&pl_m=40,Aquarius Wealth Management Limited,I - IFA,No,,,aquariuswm.com
https://financialadvisers.co.uk/financial-planning/Leicester/?pl_p=3&pl_m=40,Guru Financial Services Ltd,I - IFA,No,,,jaymaru.co.uk
