Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Peterkins,-,Yes,51-200,55,peterkins.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Clifton Wealth Partnership (Aberdeen) Ltd,I - IFA,No,,,cliftonwealthpartnership.co.uk/client
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,McLean Financial Services Ltd,-,Yes,2-10,6,mcleanfs.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Norman Gray,,,,,
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,James & George Collie Financial Management Limited,-,Yes,51-200,46,jgcollie.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Optima Financial Services Ltd.,-,Yes,2-10,,optima-fs.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Professional Financial Advisers Ltd,-,Yes,,,pfaltd.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Aberdein Considine & Co.,-,Yes,201-500,397,acandco.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,McHardy Financial Limited,-,No,,,mchb.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Futura Investments Limited,-,Yes,2-10,2,futurainvestments.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Ledingham Chalmers Financial Limited,-,Yes,51-200,176,ledinghamchalmers.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Atholl Scott Financial Services Limited,-,Yes,2-10,8,asfs-ltd.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Raeburn Christie Clark & Wallace LLP,-,Yes,51-200,76,raeburns.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,DSB Wealth Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=1&pl_m=40,Mark Alexander Gordon Taylor,I - IFA,No,"501-1,000",753,openwork.uk.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,JP Maxwell Financial Management Ltd,-,Yes,,,jpmaxwell.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,RW Morrison Wealth Management Ltd,I - IFA,No,"5,001-10,000","2,710",mandgwealth.com/rwmorrisonwealthmanagement
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,Russell Gibson Financial Management Limited,-,Yes,11-50,14,russellgibson.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,McKnight Associates Wealth Management,-,Yes,11-50,9,mcknightassociates.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,ROCKWEALTH ABERDEEN LTD,-,Yes,11-50,22,aberdeenifa.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,Johnston Carmichael Wealth Limited,-,Yes,,,jcwealth.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,Hastings Financial (Aberdeen) Ltd,-,Yes,,1,hastingswealthmanagement.net
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,A2M Financial & Estate Planning Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,Miller & Co Investment Management Ltd,-,Yes,,,millerandco.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,Ferguson Law Financial Services Ltd,-,Yes,2-10,3,fergusonlaw.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,Adam Sinclair & Associates Wealth Management Ltd,-,Yes,,,asawm.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,Scott James & Associates Ltd,-,Yes,,3,scottjamesandassociates.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,Amanda Louise Knox,-,Yes,,,mandyknox.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,William Wilson Wealth Management Limited,-,Yes,,,wilsonwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=2&pl_m=40,Alan Rutherford Wealth Management Ltd,-,Yes,2-10,10,alanrutherfordwealth.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,Simon Lipp,-,Yes,,,simonlipp.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,Fine Plan Ltd,I - IFA,No,"1,001-5,000","3,514",partnership.sjp.co.uk/partner/margarethoulihan
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,Kenneth Melville,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000","3,514",sjpp.co.uk/kmelville
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,Gregor Howitt Wealth Management Ltd,-,Yes,2-10,11,gregorhowitt.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,Buchan Wealth Management Ltd,-,Yes,2-10,8,buchanwm.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,Vince Heneghan,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000","3,514",sjpp.co.uk/vincentheneghan
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,City Financial (Aberdeen) Ltd,-,Yes,11-50,36,city-financial.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,McCue Wealth Management Limited,-,Yes,,5,mccuewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,Gary Walker Wealth Management Limited,-,Yes,11-50,19,garywalker.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,Focus Financial Advisory Ltd,-,Yes,2-10,8,focusfa.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,BH Financial & Mortgage Solutions Limited,-,Yes,,,bhfams.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,VT Wealth Management Ltd,-,Yes,11-50,12,vtwealth.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,WTW Ltd,-,Yes,2-10,6,welshandtaylorwealth.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,The Pike Partnership Ltd,-,Yes,,,thepikepartnership.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=3&pl_m=40,Bureau of Independent Financial Advice Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Charles Henderson,-,Yes,,,hendersonfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Danestone Mortgage & Financial Services Ltd,-,Yes,2-10,4,danestonemortgage.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Stuart Thom,I - IFA,No,"1,001-5,000","3,514",partnership.sjp.co.uk/partner/stuartthom
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Kilkee Financial Services Limited,-,Yes,11-50,38,aabwealth.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,AAB Wealth Limited,I - IFA,No,11-50,38,aabwealth.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Stuart Gallagher Financial & Estate Planning Ltd,-,Yes,,,sgfinancial.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Create Financial Solutions Limited,-,Yes,11-50,3,createfs.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Edward Wilson Financial Ltd,-,Yes,,,edwardwilsonfs.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Acumen Employee Benefits Limited,-,Yes,11-50,8,acumeneb.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Acumen Financial Planning Limited,-,No,51-200,62,acumenfp.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Wealthcare Management Limited,-,Yes,,4,wealthcareifa.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Brimmond Financial Management Ltd,-,Yes,2-10,1,brimmond.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Wealthway Limited,-,Yes,,,wealthway.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,Savant Financial Consultants Limited,-,Yes,2-10,3,savantfinancial.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=4&pl_m=40,J M Taylor Financial Services Limited,-,Yes,11-50,5,jmtaylor.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,DW Wealth Planning Ltd,-,Yes,,,dwwealthplanning.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Stewardship Wealth Limited,-,Yes,2-10,4,stewardshipwealth.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Buchanan & Associates Financial Planning Limited,-,Yes,2-10,,buchananadvice.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Advanced Financial Planning Scotland Limited,-,Yes,11-50,9,advancedfp.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Mathieson Financial Services Limited,-,Yes,2-10,5,mathieson-financial-services.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Davidson Wealth Management Limited,-,Yes,,,dwmfinancial.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Phil Anderson Financial Services Ltd,-,Yes,11-50,13,philandersonfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Granite Financial Planning Ltd,-,Yes,,,granitefp.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,The Avis & Keith Partnership,-,Yes,,,avisandkeith.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Broad Wealth Management Ltd,-,Yes,,,broadwealth.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Masson Glennie LLP,-,Yes,,6,massonglennie.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,The Strachan Partnership Ltd,-,Yes,2-10,5,tspifa.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Forgue Financial Services Ltd,-,Yes,,,forguefinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Anderson Wealth Management,-,Yes,,,anderson-wealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=5&pl_m=40,Gill Financial Services Limited,-,Yes,,,gfsmontrose.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=6&pl_m=40,Financial Options (N.E.) Limited,-,Yes,,,financialoptionsneltd.com
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=6&pl_m=40,M3W Wealth Management LLP,-,Yes,,,wwwm.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=6&pl_m=40,Structured Financial Planning Ltd,-,Yes,2-10,3,sfp-ifa.co.uk
https://financialadvisers.co.uk/financial-planning/aberdeen/?pl_p=6&pl_m=40,Dunnottar Insurance Services Ltd,,,,,
