Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,A & K Financial Management Limited,I - IFA,No,,,akfm.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,G & S Investment & Mortgages Ltd,I - IFA,No,,,gs-inv-mort.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Karen Richardson Financial Services Limited,I - IFA,No,,,krfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Joseph Donkin,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/josephdonkin
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Hedgehope Limited,I - IFA,No,,,hedgehope.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Paul Waddington Financial Planning Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/paulwaddingtonfinancialplanning
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Bentley Brown & Co Ltd,I - IFA,No,1-10,3,bentleybrownandco.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Simon P Dermont Financial Consultants Limited,,,,,
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Wellway Wealth Management LLP,I - IFA,No,,,wellwaywealth.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Pilling Financial Ltd,I - IFA,No,,1,pillingfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Northumbrian Financial Ltd,I - IFA,No,,,northumbrianfinancial.com
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Olivia Henny,I - IFA,No,1,,fealtywm.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,TMP Wealth Management Ltd,I - IFA,No,11-50,21,tmpwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Paul Gebbie,,,,,
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=1&pl_m=40,Financially Sound Ltd,I - IFA,No,,,financially-sound.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Henderson Independent Financial Management Limited,I - IFA,No,201-500,323,2plan.com
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Masterman Financial Services LTD,,,,,
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Financial Direction (Northumberland) Ltd,I - IFA,No,,,fdnorth.com
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Richmond IFA Ltd,I - IFA,No,,,richmondifa.com
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,DJC Financial Services,I - IFA,No,11-50,,djcfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Phil Walker Wealth Management,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514,sjpp.co.uk/philwalker
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Louise Atkinson,,,,,
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Professional Partnerships (North East) Ltd,I - IFA,No,,,rwpfg.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Perspective (North East) Limited,I - DFM without Centralised Research; I - IFA,No,201-500,260,pfgl.co.uk/northeast
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Tier One Capital Ltd,I - Asset Manager without Multi-Asset; I - IFA,No,11-50,14,tieronecapital.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Greenarch Wealth Management Limited,I - IFA,No,,,greenarch.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Tier One Capital Wealth Management Limited,I - Asset Manager without Multi-Asset; I - IFA,No,11-50,14,tieronecapital.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Integrated Financial Solutions For You Ltd,I - IFA,No,"501-1,000",753,openwork.uk.com
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Sleight Wealth Management Limited,I - IFA,No,1-10,,sleightwm.co.uk
https://financialadvisers.co.uk/financial-planning/alnwick/?pl_p=2&pl_m=40,Denton Woodhouse Limited,I - IFA,No,11-50,5,dentonwoodhouse.co.uk
