Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,WD Wealth Management Limited,-,Yes,2-10,8,wdwealth.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,Strathayr Financial Services LLP,-,Yes,2-10,3,strathayr.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,AB Vision Financial Ltd,-,Yes,,,abvision.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,Douglas Watson,,,,,
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,James Sheldon Hall,-,Yes,,,goldenyearsmortgages.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,GKD Shepherds Ltd,-,Yes,,,gkdsifa.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,Alex Philp,,,,,
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,Ken Nairn Limited,-,Yes,,3,kennairn.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,Lang Financial Scotland Limited,-,Yes,11-50,9,langfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,Mackintosh Beardsley Wealth Management Limited,,,,,
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,Isabelle Cairns,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/isabellecairns
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,Carrick IFC Ltd,-,Yes,,,carricklife.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,David Munro Financial Services Limited,-,Yes,,,davidmunrofinancialserviceslimited.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,Tanner Financial Advice Ltd,-,Yes,,,tannerfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=1&pl_m=40,Syndaxi Financial Planning Ltd,-,Yes,2-10,3,syndaxi.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,Vivid Wealth Ltd,-,Yes,,,vividwealth.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,Juniper Financial Planning Ltd,-,Yes,2-10,4,juniperfp.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,Goldstone Wealth Management Ltd,-,Yes,,1,goldstonewealth.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,One50 Financial Planning Ltd,-,Yes,2-10,3,one50.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,Nineteen87 Financial Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,Dickson and Co Wealth Management Ltd,-,Yes,,,dicksonandcowealth.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,Paladin Financial Services Ltd,-,Yes,,,paladinfs.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,Steven Smith,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/stevensmithfp
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,Ken Binnie Financial Limited,-,Yes,2-10,2,kenbinniefinancialltd.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,Pellegrini & Barlow Associates Ltd,-,Yes,2-10,2,pellegriniandbarlowassociates.co.uk
https://financialadvisers.co.uk/financial-planning/ayr/?pl_p=2&pl_m=40,Jane Ballantyne Limited,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514,sjpp.co.uk/janeballantyne
