Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,KRESTON REEVES FINANCIAL PLANNING SERVICES LIMITED,I - IFA,No,"501-1,000",604,krestonreeves.com
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,One2one Financial Advice Limited,I - IFA,No,1-10,4,one2onefinancialadvice.co.uk
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Fortitude Wealth Management Limited,I - IFA,No,1-10,2,fortitudewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,The Langridge Partnership LLP,I - IFA,No,11-50,7,langridge-ifa.com
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Craven Street Financial Planning Limited,I - IFA,No,11-50,53,cravenstreetwealth.com
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Simply Finance Ltd,I - IFA,No,,,simply-finance.co.uk
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Bainbridge Financial Planning Limited,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/bainbridgefinancialplanning
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Pharon Independent Financial Advisers Limited,I - IFA,No,11-50,30,pharon.co.uk
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Spurling Cannon Financial Planners Ltd,I - IFA,No,,,spurlingcannonfp.co.uk
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Pentins Financial Planners Ltd,I - IFA,No,1-10,8,pentinsfp.co.uk
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Women's Wealth Ltd,I - IFA,No,1-10,8,womens-wealth.co.uk
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Huggins Wealth Management Ltd,I - IFA,No,1-10,2,hugginswm.co.uk
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Richard Butler,,,,,
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Paul Spratt,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514,sjpp.co.uk/paulspratt
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=1&pl_m=40,Verum Financial LLP,I - IFA,No,1-10,10,verumfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/canterbury/?pl_p=2&pl_m=40,Utopia Wealth Planning Ltd,I - IFA,No,,,utopiawealth.co.uk
