Source,Company Name,Website Link
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Castra Financial,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Chris Evans,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Nugenis Financial Planning Limited,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Nathan  Bater,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Stephen Hubbuck,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Charlene Coulbeck,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Stuart Lane,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Daniel Lowdon,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Peter Everitt,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Huw Williams,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Hill & Co Financial Advisers Ltd,hillandcofa.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Jolyon Roderick,jolyonroderickfp.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,GE Wealth Management Ltd,gewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Habitual Wealth Ltd,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Richard John Owens,owenswealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Joel Golding,partnership.sjp.co.uk/partner/goldingwealth
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Lauren Carless,partnership.sjp.co.uk/partner/lcfinancialplanning
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,JP Private Clients LLP,jpprivateclients.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Paul Jones,pjwealth.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Jeremy Coltman,jeremycoltmanwm.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Suzanne Ward,bloomfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Marion Small,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Matthew Norman,hyderfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Daniel Jones,partnership.sjp.co.ukpartnerdanieljones
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Tom Sterling,partnership.sjp.co.uk/partner/tomsterling
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Archytas Corporate Planning Ltd,archytas-strategic.com
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Hugh James Solicitors,hughjames.com
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Harry Robinson Wealth Management Limited,harryrobinsonwm.co.uk
