Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Castra Financial,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Chris Evans,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Nugenis Financial Planning Limited,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Nathan  Bater,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Stephen Hubbuck,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Charlene Coulbeck,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Stuart Lane,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Daniel Lowdon,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Peter Everitt,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Huw Williams,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Hill & Co Financial Advisers Ltd,I - IFA,No,,,hillandcofa.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Jolyon Roderick,I - IFA,No,,,jolyonroderickfp.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,GE Wealth Management Ltd,I - IFA,No,,,gewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Habitual Wealth Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=1&pl_m=40,Richard John Owens,I - IFA,No,,,owenswealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Joel Golding,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/goldingwealth
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Lauren Carless,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/lcfinancialplanning
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,JP Private Clients LLP,I - IFA,No,,,jpprivateclients.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Paul Jones,I - IFA,No,,,pjwealth.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Jeremy Coltman,I - IFA,No,1,1,jeremycoltmanwm.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Suzanne Ward,I - IFA,No,,,bloomfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Marion Small,,,,,
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Matthew Norman,I - IFA,No,,,hyderfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/cardiff/?pl_p=2&pl_m=40,Daniel Jones,Invalid domain,No,,,partnership.sjp.co.ukpartnerdanieljones
