Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,Tom Price,,,,,
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,CPN Private Wealth,I - IFA,No,11-50,24,cpngroup.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,CPN Financial Services Limited,I - IFA,No,,,cpn-fs.com
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,CPN Investment Management LLP,I - IFA,No,11-50,24,cpngroup.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,Acumensa Limited,I - IFA,No,1-10,,acumensa-wealth.com
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,CPN & Partners Limited,I - IFA,No,11-50,24,cpngroup.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,GilesSmith Wealth Management LLP,I - IFA,No,,,gilessmithgroup.com
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,AI Wealth Management LLP,I - IFA,No,,,arcturus-wealth.com
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,Blue Spire Financial Planning Limited,I - IFA,No,11-50,13,bluespiregroup.com
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,Thesis Asset Management Limited,I - IFA,No,51-200,32,thesisam.com
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,Peter Greenwood,I - IFA,No,1-10,3,greenwoodwealthsolutions.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,Marchwood IFA Ltd,I - IFA,No,1-10,7,marchwoodifa.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,George Ide LLP,I - IFA,No,51-200,47,georgeide.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,Adam Smith,I - IFA,No,,,adamsmithwm.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=1&pl_m=40,MJB (Partnership) Limited,I - IFA,No,1-10,7,mjbpartnership.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Springboard Financial Services Ltd,I - IFA,No,,,springboardfs.com
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Cathedral Wealth Management Limited,I - IFA,No,1-10,7,cathedralwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Wayfinder Wealth Management Ltd,I - IFA,No,201-500,323,2plan.com
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Alex Johnston,I - IFA,No,,,alexrjohnston.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Goodwood Place Financial Planning LLP,I - IFA,No,,,russellfairbrass.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Wild + Wild Wealth Management Limited,I - IFA,No,,,wildandwildwm.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,C.P.H. Ltd,I - IFA,No,1-10,,acclaimed-financial.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Sally Austin,I - IFA,No,,,austinwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Rhoss Dancey,,,,,
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Hambrook Financial Planning Limited,I - IFA,No,,,btconnect.com
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Clear Sense Financial Planning Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,SMB Wealth Management Ltd,I - IFA,No,1-10,,smbwealth.co.uk
https://financialadvisers.co.uk/financial-planning/chichester/?pl_p=2&pl_m=40,Evans Financial Planning Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/evansfinancialplanning
