Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,Peter R.T Holden & Partners LLP,I - IFA,No,11-50,29,holden-partners.co.uk
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,APM Capital Markets Limited,I - IFA,No,,,buxmarkets.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,Absolute Finance Limited,I - IFA,No,,,absolutefinance.net
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,Frontline Ventures Management Company Limited (UK Branch),I - IFA,No,11-50,22,frontline.vc
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,Carlile Alexander Private Wealth Ltd,I - IFA,No,1-10,2,capw.co.uk
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,Weston-Cummins Limited,I - DFM without Centralised Research; I - IFA,No,51-200,96,hfmcwealth.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,Aspinalls Private Clients Limited,I - IFA,No,,,aspinallsgroup.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,Aspinalls Family Office LLP,I - DFM without Centralised Research; I - IFA,No,51-200,96,hfmcwealth.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,HFMC Asset Management Limited,I - DFM without Centralised Research; I - IFA,No,51-200,96,hfmcwealth.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,R&S Associates Financial Planning Limited,I - DFM without Centralised Research; I - IFA,No,51-200,96,hfmcwealth.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,HFMC Wealth Limited,I - DFM without Centralised Research; I - IFA,No,51-200,96,hfmcwealth.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,HFMC Wealth Management Ltd,I - DFM without Centralised Research; I - IFA,No,51-200,96,hfmcwealth.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,The TJM Partnership Limited,I - IFA,No,,,tjmpartners.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,ABG Corporate Finance LLP,I - IFA,No,1-10,7,abgcorporatefinance.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=1&pl_m=40,Sandall Financial Services Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/sandallfinancialservices
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=2&pl_m=40,SPARK Advisory Partners Limited,I - IFA,No,11-50,10,sparkadvisorypartners.com
https://financialadvisers.co.uk/financial-planning/clerkenwell-ec1r/?pl_p=2&pl_m=40,Pelier Financial Limited,I - IFA,No,,,pelier.co.uk
