Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Iain Brown,-,Yes,,,carlton-brown.com
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Jappy Investment Services (Scotland) LTD,-,Yes,,,jappyinvestscotland.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Elmbrae Mortgage & Pensions Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Macleman Wealth Ltd,-,Yes,,,maclemanwealth.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Taylor Watson Financial Management Ltd,-,Yes,2-10,1,taylorwatsonfm.com
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Macmillan Financial Planning Limited,-,Yes,2-10,1,macfp.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Mary MacFarlane,-,Yes,,,marymacfarlanefp.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,57 North Financial Planning Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Malcolm Scott,,,,,
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Anderson & Jarvie,-,Yes,,,andersonjarvie.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Achieve Financial Planning Ltd,-,Yes,2-10,2,achievefp.com
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Associated Legal & Financial Limited,-,Yes,,,alaf.biz
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,MCM Investment House LLP,-,Yes,2-10,4,mcminvestmenthouse.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Leggatts Financial Services Limited,-,Yes,,2,leggattsfs.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=1&pl_m=40,Advanced Investment & Retirement Planning (Scotland) Ltd,-,Yes,,,airplimited.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Inverness Financial Advice LLP,-,Yes,,,invernessfa.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,W.G. STEWART FINANCIAL PLANNING LTD.,-,Yes,,,wgstewart.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,"Watson, Wood, and Sillars Limited",-,Yes,11-50,13,watsonwoodfp.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Home & Mortgage Shop Limited,-,Yes,,,invernessmortgages.com
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Mackenzie Taylor Wealth Management Limited,-,Yes,,,mtwm.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Grierson Wealth Management,I - IFA,No,,,griersonwm.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Lees Wealth Management,I - IFA,No,1-10,5,leeswm.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,North East Financial Planning Ltd,I - IFA,No,,1,northeastfinancialplanning.co.uk/
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Cala Investments Limited,I - IFA,No,,,calainvestments.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Campbell & McConnachie Limited,I - IFA,No,201-500,471,amberriver.com/cm
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Stewart Lyon Limited,I - IFA,No,,4,stewartlyon.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Andrew Storey,I - IFA,No,"1,001-5,000",3514,birchwoodfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Neil Carr,,,,,
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Black Dog Financial Services Ltd,I - IFA,No,1-10,,blackdogifa.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=2&pl_m=40,Helen Williamson,I - IFA,No,,,helenwilliamsonfp.co.uk
https://financialadvisers.co.uk/financial-planning/cromarty/?pl_p=3&pl_m=40,Julia Williams Financial Planning Ltd,I - IFA,No,201-500,471,amberriver.com/cm
