Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Strathleven Financial Services Ltd,I - IFA,No,,,strathlevenfinancialservicessites.simplymembersites.co.uk
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Gordon McNaughton,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/mcnaughtonwealth
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Patrick Kane,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/patkanewm
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Lomond Financial Management Limited,I - IFA,No,,1,lomondfinancial.com
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Advanced (Scotland) Limited,I - IFA,No,51-200,156,advancedonline.co.uk
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Avonbrae Financial Services Limited,,,,,
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,North of Scotland Financial Services Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/northofscotlandfinancialservices
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Brierie Financial Planning Ltd,I - IFA,No,1-10,1,brieriefp.co.uk
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Gerald Mulhern,,,,,
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Affluent Financial Planning Ltd,I - IFA,No,1-10,6,affluentfp.co.uk
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Stewart IFA Ltd,I - IFA,No,1-10,4,stewartifa.co.uk
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Docherty & Co Financial Services Limited,I - IFA,No,1,1,men.com
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,J McGhee (Financial Consultant) Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/dumbarton/?pl_p=1&pl_m=40,Brandane Financial Services Ltd,I - IFA,No,,,brandaneifa.com
