Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,RAYMOND MARSHALL,,,,,
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,Annandale Financial Services LLP,I - IFA,No,,,annandalefinancial.co.uk
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,J.R. Pritchard Financial & Assurance Consultants,I - IFA,No,,,jrpritchard.co.uk
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,Radley Financial Services,I - IFA,No,,,radleyfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,Thomas Donald,I - IFA,No,,,tomdonaldfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,DAT Financial Planning Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/datfinancialplanning
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,Border Finance Ltd,I - IFA,No,11-50,3,borderfinance.co.uk
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,Theo Filippeos,I - IFA,No,,,filippeos-financial.co.uk
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,Robert John McFarlane,I - IFA,No,,,rjmfinancialmanagement.com
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,SMG Financial Management Limited,I - IFA,No,,,smgfm.com
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,AFL Financial Planning Services Limited,I - IFA,No,11-50,7,aflfp.com
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,Bernard Knowles,,,,,
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,Wealthcare Independent Financial Planning Ltd,I - IFA,No,,,wealthcareifp.co.uk
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,Latimer Financial Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=1&pl_m=40,Saltire Financial Limited,,,,,
https://financialadvisers.co.uk/financial-planning/dumfries/?pl_p=2&pl_m=40,Carron Financial Services Limited,I - IFA,No,,,carronfs.co.uk
