Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Stephen Walters Financial Planning Ltd,I - IFA,No,,,dexterityifa.com
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,abrdn Client Management Limited,I - Asset Manager with Multi-Asset; I - DFM without Centralised Research; I - IFA,No,"5,001-10,000",5795,abrdn.com/en-gb/personal
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Ridland Wealth Management Limited,I - IFA,No,1-10,6,ridlandwealth.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,336 Financial Management Limited,I - IFA,No,1-10,11,336fm.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Executive Wealth Services Ltd,I - IFA,No,,,ewsfinancialadvisers.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Pension Advisers UK Limited,,,,,
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Wilkinson Financial Management Ltd,I - IFA,No,,,wilkinson-chartered.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,GMG Investment Managers Ltd,I - IFA,No,,,gmgim.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Cailean Limited,I - IFA,No,1-10,3,caileanltd.com
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Anna Miller Wealth Management Ltd,I - IFA,No,,,anna.millerwm.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Ravenstone Financial Ltd,I - IFA,No,1-10,4,ravenstone.uk.com
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Ethical Futures LLP,I - IFA,No,1-10,6,ethicalfutures.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Ramsay Asset Management Limited,I - IFA,No,1-10,4,ramsayassetmanagement.com
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,A1 Financial Solutions Ltd,I - IFA,No,1-10,3,a1-financial.com
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=1&pl_m=40,Johnston Financial Limited,I - IFA,No,11-50,17,johnstonfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=2&pl_m=40,Prydis Wealth (Scotland) Limited,I - IFA,No,51-200,49,prydis.com
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=2&pl_m=40,Forbes Wealth Ltd,I - IFA,No,1-10,2,spentwell.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=2&pl_m=40,Murray John & Associates Ltd,I - IFA,No,"501-1,000",753,theopenworkpartnership.com
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=2&pl_m=40,Nicholas Paul Wealth Management Limited,I - IFA,No,,,npwm.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=2&pl_m=40,ESPC (UK) Ltd,I - IFA,No,51-200,55,espc.com
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=2&pl_m=40,Edinburgh Wealth Management Limited,I - IFA,No,1-10,4,edinburghwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=2&pl_m=40,Sutherland Independent Ltd,I - IFA,No,,,wsi-ltd.co.uk
https://financialadvisers.co.uk/financial-planning/edinburgh/?pl_p=2&pl_m=40,North Capital Management Limited,I - DFM without Centralised Research; I - IFA,No,11-50,16,northcapital.co.uk
