Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Tom Price,,,,,
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Best Advice Protection Ltd,-,No,,1,bestadviceprotection.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Dental and Medical Financial Services Limited,-,No,11-50,6,dentalandmedical.com
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,The Horsham Mortgage Centre Ltd,-,No,,,horshammortgages.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Abode Finance Limited,-,No,1-10,2,abodefinance.ltd
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Pembroke Financial Services (Horsham) Limited,-,No,51-200,65,pembrokefinancial.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Susan Ann Marshall,-,No,,,precisionplanning.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Gateway Financial Consulting Ltd,-,No,1-10,5,gatewayfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Finance Energy Ltd,-,No,1,,financergy.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Aptus Wealth Limited,-,No,,,aptuswealth.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,The Whitechurch Network Limited,-,No,51-200,130,inpartnership.net
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,In Partnership Financial Advisers Limited,-,No,51-200,130,inpartnership.net
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,The On-Line Partnership Limited,-,No,51-200,130,inpartnership.net
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Money Matters (South East) Limited,-,No,1-10,7,reevesfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=1&pl_m=40,Brian John Richardson,,,,,
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,L&D Mortgages Limited,-,No,1-10,5,onpointmortgages.com/services/mortgages/residential-mortgages/
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Elliott Financial Services Ltd,-,No,,,elliottwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Kevin Gates,,,,,
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Power Robbins,-,No,1-10,3,power-robbins.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Redwood Financial Services Ltd,-,No,,7,redwood-financial.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Andrew Fincham,-,No,,,sapphirewealthmanagement.com
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Peter Adams,-,No,,2,touchstonefinancial.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Horsham Financial Services Ltd,-,No,11-50,7,horshamfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Bob Barnett Limited,-,No,1-10,,rb-financial.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Alastair Shepherd,-,No,201-500,323,sfp.2plan.com
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Invictus Wealth Consultants Limited,-,No,11-50,15,invictuswealth.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Evolution Wealth  Network Ltd,-,No,,,evowealth.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Best Practice IFA Group Limited,-,No,,,bestpractice.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Geoff Paffett Personal Financial Planning Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=2&pl_m=40,Benchmark Financial Planning Limited,-,No,51-200,107,benchmarkfp.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,LGM Insurance Services LLP,-,No,1-10,4,lgminsurance.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,Falcon Financial Planning Limited,-,No,1-10,,falconfp.com
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,Laine Financial Management Limited,-,No,,,lainefm.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,Barrington Hamilton Personal Asset Management Ltd,-,No,1-10,3,barringtonhamilton.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,White Lined House Wealth Management Limited,,,,,
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,Steven Knight,,,,,
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,BP Wealth Management Ltd,I - IFA,No,1-10,15,bpwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,BCJ Financial Planning Ltd,-,No,1-10,2,bcjfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,Jamie Wilkinson,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/jwilkinsonfp
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,Matthew Wykes,-,No,,,matthewwykes.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,Seelig Financial Services,-,No,,,seeligfs.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,FACET INVESTMENT MANAGEMENT LTD,-,No,1-10,6,facet-im.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,Magus Professional Partners LLP,-,No,,,maguspp.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,Magus Private Wealth Limited,-,No,11-50,37,maguswealth.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=3&pl_m=40,Wilder Coe Financial Planning LLP,-,No,11-50,37,maguswealth.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,Objective Wealth Ltd,I - IFA,No,1-10,5,objectivewealthfinancial.com
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,Clarke Financial Planning Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,Warren Financial Planning Ltd,I - IFA,No,1-10,,warrenfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,Manow Wealth Partners Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,T K Gurr Financial Planning Ltd,-,No,,,tkgfp.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,Diana Finnerty,I - Asset Manager with Multi-Asset; I - DFM with Centralised Research,No,"10,000+",87950,morganstanley.com
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,Informed Choice Ltd,I - IFA,No,11-50,24,icfp.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,Medex Financial Management Ltd,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/medexfinancialmanagement
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,David Rowledge,I - IFA,No,,,davidrowledge.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,Advisory Investment Services Limited,I - IFA,No,,,advisoryinvestmentservices.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,The Ingarfield Partnership,I - IFA,No,,,markingarfield.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,The Ron Jeffery Practice,I - IFA,No,1-10,2,trjp.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,Rourke's Mortgages and Financial Planning,,,,,
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,I D Finance Ltd,-,No,,,idfinance.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=4&pl_m=40,Sequoia Circle LLP,-,No,,4,sequoiacircle.com
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=5&pl_m=40,Sussex Wealth Management Ltd,-,No,1-10,,sussexwealthmanagement.com
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=5&pl_m=40,Gosia Spica Financial Advice Ltd,Invalid domain,No,,,https:partnership.sjp.co.ukpartnergosiaspicafa
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=5&pl_m=40,Oakwood Mortgage Services Limited,I - IFA,No,1-10,9,oakwoodmortgageservices.co.uk
https://financialadvisers.co.uk/financial-planning/horsham/?pl_p=5&pl_m=40,Andrew Dawborn,-,No,,19,wise-invest.co.uk
