Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,David Jeffreys Financial Services Ltd,I - IFA,No,,,btinternet.com
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,EMET Financial Services Ltd,I - IFA,No,201-500,1064,emetfs.com
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,VS Associates Ltd,I - IFA,No,1-10,,vsassociates.co.uk
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,Granta Financial Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,Steven Thomas Buttercase,I - IFA,No,,,stevebuttercase.co.uk
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,Denis Mulholland Financial Solutions Ltd,I - IFA,No,1-10,3,dmulhollandfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,Geeson Financial Services Ltd,I - IFA,No,1-10,2,geeson-financial.co.uk
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,Method Financial Planning Limited,I - IFA,No,,,methodfp.com
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,RTW Wealth Management Limited,I - IFA,No,,,rtwwealth.co.uk
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,Green Oak Financial Partners Limited,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/raffaelecannas
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,House Therapy Limited,I - IFA,No,1-10,10,stanbrookconsulting.com
https://financialadvisers.co.uk/financial-planning/huntingdon/?pl_p=1&pl_m=40,Delta Wealth Management Limited,I - IFA,No,,,deltawealth.co.uk
