Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Tim Hall,,,,,
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Ian Rennard Financial Planning,I - IFA,No,,,ianrennardfp.co.uk
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Northseam Limited,,,,,
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Ogilvie Thorne Limited,,,,,
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Blue Fox Wealth Management Limited,I - IFA,No,1-10,1,bluefoxwealth.co.uk
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,PlanIt Future Financial Limited,I - IFA,No,,,planitfuture.co.uk
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,P J Watts Independent Financial Adviser Ltd,I - IFA,No,,,kwlwealth.com
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Stepping Stones Financial Advisers Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Samantha Thorpe,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/samthorpe
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Simply Advice Ltd,I - IFA,No,1-10,5,simplyadvice.co.uk
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Adanac Financial Services Ltd,I - IFA,No,1-10,8,adanac.biz
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,John Hall Financial Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Old Mill Financial Planning Limited,I - IFA,No,201-500,354,om.uk
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Quro Financial Solutions Ltd,I - IFA,No,,,qurofs.uk
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=1&pl_m=40,Buxton Beresford Financial Planning Ltd,I - IFA,No,1,,buxtonberesford.co.uk
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=2&pl_m=40,Personal Financial Planning Services Limited,I - IFA,No,,,btopenworld.com
https://financialadvisers.co.uk/financial-planning/ilchester-ba22/?pl_p=2&pl_m=40,Find Peace of Mind Ltd,I - IFA,No,1-10,3,findpeaceofmind.co.uk
