Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Murrow Wealth Management Limited,I - IFA,No,,1,murrowwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Deans Investment Advisors LLP,I - IFA,No,11-50,28,deansca.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Bell Financial Planning Limited,I - IFA,No,1-10,3,bellfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Brett Investment Ltd,I - IFA,No,1-10,2,brettinvestment.com
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Tweedside Financial Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Heard Hamilton Financial Planning Ltd,I - IFA,No,,1,heardhamilton.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,William White,I - IFA,No,,1,billwhiteifa.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Lowland Financial Services Limited,I - IFA,No,,6,lowlandfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Broadmeadows Financial Planning Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/broadmeadowsfinancialplanning
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Leet Financial Planning Limited,,,,,
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Hedgehope Limited,I - IFA,No,,,hedgehope.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Karen Richardson Financial Services Limited,I - IFA,No,,,krfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Tweed Financial Services Ltd,I - IFA,No,,,tweedfs.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Port Brae Associates Ltd,I - IFA,No,1-10,1,portbrae.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=1&pl_m=40,Tyne & Tweed Mortgage & Investment Services,I - IFA,No,,,tyneandtweed.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,Mission Financial Planning Limited,I - IFA,No,1-10,1,missionfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,Greaves West & Ayre,I - IFA,No,,,gwayre.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,Watson Financial Planning Ltd,I - IFA,No,,,watsonfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,MONEY ADVICE PARTNERSHIP LTD,I - IFA,No,11-50,5,moneyadvicepartnership.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,G & S Investment & Mortgages Ltd,I - IFA,No,,,gs-inv-mort.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,Optimal Financial Solutions Ltd,I - IFA,No,,,optimalfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,A & K Financial Management Limited,I - IFA,No,,,akfm.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,McLean Financial Planning,,,,,
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,Wilson Financial Advice Ltd,I - IFA,No,,,wilsonfinancialadvice.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,Jamieson Financial Planning Ltd,I - IFA,No,,,jamiesonfp.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,Burt Financial Planning Ltd,I - IFA,No,,,burtfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,CFind (Scotland) Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,O'Sullivan Associates,I - IFA,No,,,ifa-lothians.com
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,Alistair Young Financial Ltd,I - IFA,No,201-500,323,alistairyoung.2plan.com
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=2&pl_m=40,Miller Associates Limited,I - IFA,No,,,millerassociates.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Kenneth Murphy,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/kennethmurphy
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Gosford Financial Services Ltd,I - IFA,No,,,gosfordfs.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,McInroy & Wood Ltd,I - DFM without Centralised Research; I - Asset Manager without Multi-Asset; I - IFA,No,51-200,51,mcinroy-wood.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Sebastien Zamora Wealth Management Ltd,I - IFA,No,,,sebastienzamora.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Keith Roseburgh Financial Limited,I - IFA,No,,1,keithroseburgh.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Guthrie Wealth Consultancy Ltd,I - IFA,No,,,guthriewealthconsultancy.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,M & W Mortgages Limited,,,,,
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Rachel Stewart,I - IFA,No,,,traprainfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Alan Ellis Financial Services Limited,I - IFA,No,,,aefsl.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Summerside Independent Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Kilgour Wealth Management Limited,I - IFA,No,,,kilgourwealth.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Middlemiss & Associates Limited,I - IFA,No,1-10,3,middlemissandassociates.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Torphin Financial Planning Ltd,I - IFA,No,1-10,2,torphin.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,ARIES FINANCIAL LTD,I - IFA,No,1-10,4,ariesfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/jedburgh/?pl_p=3&pl_m=40,Argyll Independent Ltd,I - IFA,No,"5,001-10,000",1289,argyll-bute.gov.uk
