Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,Rixon Matthews Appleyard (Financial Services) Limited,-,Yes,11-50,8,rixonsfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,pepperells wealth limited,-,Yes,2-10,,pepperellswealth.com
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,Smailes Goldie Financial Management Limited,,,,,
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,Investment Technique Ltd,-,Yes,,,investment-technique.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,Amy Gray Wealth Management Limited,-,Yes,,,amygraywealth.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,MKT Wealth Management Ltd,-,Yes,2-10,,mktwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,Trevor Richardson,-,Yes,,,southcoateswm.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,James Blake Wealth Management Limited,-,Yes,,,jamesblakewealth.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,CAW Financial Services Ltd,-,Yes,,,wilesfinancialassociates.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,Adira Financial Services Ltd,-,Yes,,,adirafinancialservicesltd.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,Peter Gay & Company,-,Yes,,,petergay.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,Stephenson Johnson Financial Planning Limited,-,Yes,2-10,5,sjfp.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,Active Investment Managers Limited,-,Yes,2-10,7,morgan-williams.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,The Informed Partnership Limited,-,Yes,11-50,32,informedfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=1&pl_m=40,Yorkshire Financial Planning Ltd,-,Yes,2-10,4,yorkshirefinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Jenkinson Wealth Management Ltd,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/jenkinsonwealth
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Neal Sheard Financial Management Limited,-,Yes,,,nealsheardfm.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Next Chapter Financial Planning (Leeds) Limited,,,,,
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Next Chapter Financial Planning Limited,-,Yes,,,ncfp.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Lisa Wickens Wealth Management Ltd,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/lisawickenswealthmanagement
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,NGC Wealth Management Limited,-,Yes,,,ngcwealthmanagement.com
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Prosperitas Wealth Planning Ltd,-,Yes,2-10,8,prosperitasltd.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Warren & Warren,-,Yes,,1,warrenifa.com
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Mark Cromack,,,,,
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,C. McDonald Brown Limited,-,Yes,,,cmbltd.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,OSL Financial Consultancy Limited,-,Yes,51-200,26,mortgagekey.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,MPS & Sons Limited,-,Yes,,1,mpswealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Premium Financial Planning Services,-,Yes,2-10,4,premiumfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Humba Financial Ltd,-,Yes,,,humba.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=2&pl_m=40,Craig McMonies Financial Planning Ltd,-,Yes,"1,001-5,000","3,514",craigmcmoniesfp.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Sterling Partnership Limited,-,Yes,,,sterling-partnership.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Bounty Financial Planning Limited,-,Yes,,,bountyfp.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Lairgate Financial Ltd,-,Yes,2-10,2,lairgatefinancial.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Minster Financial Management Limited,-,Yes,2-10,9,minsterfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,MJ Grant Financial Planning Ltd,-,Yes,"1,001-5,000","3,514",mjgrantfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Rockingham Financial Services Ltd,-,Yes,,,rockinghamfs.com
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Linkage Financial Solutions Ltd,-,Yes,201-500,323,ricardodasilva.2plan.com
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Calvard Financial Limited,-,Yes,,,calvardfin.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Ashley Phillips Ltd,-,Yes,,,ashleyphillips.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Estate Planning Solutions Ltd,-,Yes,,,estateplans.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Core Independent Financial Planning Limited,-,Yes,2-10,1,coreifp.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,David Gunderson,-,Yes,,,dgfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Twismo Financial Planning Ltd,-,Yes,,1,twismo.co.uk
https://financialadvisers.co.uk/financial-planning/kingston-upon-hull/?pl_p=3&pl_m=40,Lifestyle Wealth Management Ltd,-,Yes,,,lifestylewealthmanagement.co.uk
