Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,TIC Financial Services (UK) Limited,I - IFA,No,1-10,1,tic-financialservices.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,PBS Financial Solutions Ltd,I - IFA,No,1-10,3,pbsfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,J H Lowson & Company Limited,I - IFA,No,,,lowco.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,Prudent Financial Planning Advice Ltd,I - IFA,No,11-50,1,prudentfpa.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,David Kneale Financial Management Ltd,I - IFA,No,1-10,,dkfm.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,Maplewood Training Solutions Ltd,I - IFA,No,1-10,1,maplewoodfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,Help For Wealth Ltd,I - IFA,No,1-10,4,helpforwealth.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,Advice Matters Financial Planning Ltd,I - IFA,No,1,1,advicemattersfinancialplanning.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,Eden Mortgages and Protection Ltd,I - IFA,No,,,edenmp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,Edward Franklin Financial Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,DGM Financial Planning Ltd,I - IFA,No,,,davidmakin.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,Edmonds Financial Planning Ltd,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/rachaeledmonds
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,Kieron John Bassett,I - IFA,No,1-10,4,kieronbassett.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,MWLFS Limited,I - IFA,No,11-50,14,wrightandlord.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=1&pl_m=40,North Star Financial Consultants Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Bridges & Co Financial Advisers Limited,I - IFA,No,,,bridgesandco.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Stephenson Financial Planning Ltd,I - IFA,No,,,stephensonfp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Walmsley Financial Planning Ltd,I - IFA,No,1-10,1,walmsleyfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Opes Independent Financial Advisers Ltd,I - IFA,No,,,opesifas.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,SMG Mortgage & Protection Ltd,I - IFA,No,,,smgmp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Wealth Solutions Ltd,I - IFA,No,,,wealthsolutions.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Edward Hart Financial Services Limited,I - IFA,No,,,edwardhartfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Craig Broadbent,-,Yes,,,broadbentwm.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Tony Walker Financial Planning Services Limited,-,Yes,,1,financialadvisorlancaster.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Butterworths Asset Management LLP,I - IFA,No,,,butterworthsassetmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Ian Buckley,I - IFA,No,,,ianbuckleyfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Garstang Independent Financial Services Ltd,-,Yes,,,gifsltd.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Independent Investment Associates Limited,I - IFA,No,,7,iialtd.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,The Independent Asset Management Company,I - IFA,No,,9,iamcompany.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=2&pl_m=40,Brambles Mortgages Limited,-,Yes,2-10,,bramblesmortgages.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Estate and Property Ltd,I - IFA,No,,,clafinancial.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Ambler Blackburn Ltd,I - IFA,No,201-500,323,2plan.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Geoffrey Bernard Moore,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,RDBIFS Ltd,I - IFA,No,11-50,6,rdbifs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Chameleon Financial Planning Ltd,-,Yes,2-10,2,chameleonfp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Amethyst Financial Planning Limited,-,Yes,,{:numEmployees},amethystifa.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Quintessential Wealth Management Limited,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/quintessentialwm
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Ambler Blackburn Financial Planning Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Winders Financial Services Limited,I - IFA,No,11-50,5,winders.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Home & Finance IFA Limited,I - IFA,No,,,homeandfinance.org
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Steven Martin & Associates Ltd,I - IFA,No,11-50,6,sma-ifa.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Harwood Financial Planning Limited,I - IFA,No,,,harwoodfp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Becketts F.S. Ltd,-,Yes,11-50,39,beckettsfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,BREE WEALTH & TAX MANAGEMENT LTD,-,Yes,2-10,1,breewealthandtax.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=3&pl_m=40,Becketts Connect,I - IFA,No,11-50,39,beckettsfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Lighthouse Financial Planning Ltd,I - IFA,No,,,lighthousefp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Barr Davis and Company Limited,-,Yes,,,michaelbarr.org.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Appletree Financial Solutions Limited,-,Yes,2-10,9,appletreefinance.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Waterford Investments,-,Yes,,,waterfordinvestments.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Fernleigh Wearden & Company Ltd,-,Yes,,,fernleighwearden.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Andrew Philip Grice,-,Yes,,,fyldewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Rowlands & Hames Insurance Brokers Limited,-,Yes,11-50,16,rowlands-hames.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,R & H Financial Planning Limited,I - IFA,No,11-50,16,rowlands-hames.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,I F S (SP) Limited,-,Yes,,,ifs-sp.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Investrium Ltd,I - IFA,No,,,investium.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Berry Financial Planning Ltd,-,Yes,,,berryfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Steven Ibbotson,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,JGT Management Limited,-,Yes,,,compassfsuk.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,David Hopkinson IFA Limited,I - IFA,No,,3,davidhopkinsonifa.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=4&pl_m=40,Financial Management Bureau Limited,I - IFA,No,11-50,31,finman.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Two10 Investment Services Limited,Invalid domain,No,,,two10investmentservices.co.uk.
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Pursuit Financial Planning Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/pursuitfinancialplanning
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Lawton & Taylor Financial Services Limited,-,Yes,,,lawtonandtaylor.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Gavin Hathaway Investment Services,-,Yes,,,ghis.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Atkinson Financial Services Limited,I - IFA,No,,,atkinsonfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Poole Townsend Financial Services Ltd,I - IFA,No,,,pooletownsend.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Gunson and Co Independent Financial Advisers Ltd,I - IFA,No,,,andrewgunson.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Lee Neatis Financial Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,J.A. Financial Planning Ltd,-,Yes,,,jafp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,P N M Financial Management Limited,-,Yes,2-10,6,pnmuk.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Genesis Wealth Strategies Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Fulwood Wealth Management Limited,-,Yes,,,fwm.uk.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,T & M Financial Planning Limited,-,Yes,,2,tmfinancialplanningltd.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,Doubletree Financial Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=5&pl_m=40,SM Solutions Ltd.,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,CS Financial Management Limited,-,Yes,,,csfin.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,VEITCH FINANCIAL PLANNING LTD,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/veitchfinancialplanning
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,Aspiration Financial Management Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,A&N Financial Management Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,The Mortgage Shop,-,Yes,,,themortgageshopdirect.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,Andrew Varley,-,Yes,,,varleyfinance.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,AFS Advocate Financial Services Limited,-,Yes,,,advocatefs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,B & M Harrison Limited,I - IFA,No,,1,bandmharrison.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,Barrow Financial Services Ltd,-,Yes,,,barrowfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,Mortgages by Mcateer Ltd,-,Yes,2-10,2,mortgagesbymcateer.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,Archetype Financial Planning Limited,-,Yes,,,archetypefp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,"MacBeth, Scott & Company Life & Pensions Services Limited",I - IFA,No,,,macbethscottinvestments.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,Sage Financial Management Limited,-,Yes,,,sagegroup.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,CS Financial Group Limited,I - IFA,No,11-50,11,csmortgagesolutions.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=6&pl_m=40,Pegasus Portfolio Planning LLP,I - IFA,No,11-50,,pegasuspp.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,MediPro Financial Services Ltd,-,Yes,,,mediprofs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,M.R. Financial Services Ltd,-,Yes,,,mrfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,Moore Wealth Limited,I - IFA,No,,,moorewealth.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,Westmorland Mortgage Advice Centre Limited,I - IFA,No,,,westmorlandmortgage.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,KNS Financial Planning Ltd,I - IFA,No,,,knsfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,City Investment and Insurance Services Ltd,-,Yes,,,cityinvest.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,Questa Financial Services Ltd,-,Yes,11-50,12,questachartered.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,Adrian Smith Wealth Management Limited,-,Yes,,,aswealthmgt.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,CJT Financial Planning Ltd,-,Yes,,13,cjt.uk.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,Questa Wealth & Financial Planning Limited,-,Yes,,,questawealth.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,North West Financial Solutions Limited,-,Yes,11-50,,nwfinancialsolutions.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,Jones Cameron Financial Services Limited,-,Yes,,,jonescameron.net
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,Plutus Partnership Ltd,-,Yes,,,plutuspartnership.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,Juniper Wealth Management Limited,-,Yes,2-10,10,juniperwealth.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=7&pl_m=40,Springfield Financial Services Limited,I - IFA,No,,,springfieldfs.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Sharon Ball Financial Planning Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/sharonballfinancialplanning
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Charter Wealth Management Limited,I - IFA,No,,,cfpllp.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Efficient Financial Planning Limited,I - IFA,No,201-500,323,2plan.com
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,IPP Financial Services LLP,-,Yes,,,ippgroup.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Profile Financial Solutions Limited,I - IFA,No,51-200,45,profilepensions.co.uk
https://financialadvisers.co.uk/financial-planning/lancaster/?pl_p=8&pl_m=40,Napthens Wealth Management Limited,I - IFA,No,,,napthens.co.uk
