Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Tom Price,,,,,
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Herbert Scott Ltd,I - IFA,No,,,herbertscott.co.uk
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Financial Freedom sooner Limited,I - IFA,No,1,1,financialfreedomsooner.co.uk
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Imperial Finance 23 Ltd,I - IFA,No,,,if23.co.uk
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Kingston Independent Financial Services Ltd,I - IFA,No,,,kingston-ifs.co.uk
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Shaun Hart Financial Planning Limited,I - IFA,No,,,shaunhartcfp.co.uk
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Town & Country Private Finance Limited,I - IFA,No,,,townandcountrypf.com
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Barwells Independent Financial Management Limited,I - IFA,No,1-10,4,barwells-wealth.co.uk
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,IpsoFacto Investor.Com Limited,I - IFA,No,1-10,1,ipsofactoinvestor.co.uk
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,McCreath Financial Partners Limited,I - IFA,No,,1,mfpartners.co.uk
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Herbert Financial Services,I - IFA,No,,,herbertfinancialservices.com
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Oakhurst Financial Management Limited,,,,,
https://financialadvisers.co.uk/financial-planning/lewes/?pl_p=1&pl_m=40,Melanie Roberts Wealth Management Ltd,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/melanieroberts
