Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,Carr Financial Ltd,I - IFA,No,11-50,10,progressive-research.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,Rossington Wealth Management Ltd,I - IFA,No,,,rossingtonwm.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,CBG Financial Planning Limited,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,White Wealth Management Ltd,I - IFA,No,,,whitewm.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,Fit Financial Services Limited,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,Streets Financial Consulting Limited,I - IFA,No,,,sfcplc.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,Tower House Wealth Management Limited,I - IFA,No,,,towerhousewm.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,Choice Independent Financial Services Ltd,I - IFA,No,,,choiceifa.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,IQ Financial Advice Ltd,I - IFA,No,,1,iq-fa.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,Equium Wealth Management Limited,I - IFA,No,,,equiumwealth.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,Lincoln Financial Services Ltd,I - IFA,No,,,lincolnfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,Grange Lane Financial Planning Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/grangelanefinancialplanning
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,The SalterGuide Ltd,I - IFA,No,,,thesalterguide.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,SGM Financial Management Ltd,I - IFA,No,,,sgmfinancialmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=1&pl_m=40,JAV Financial Planning Limited,I - IFA,No,,,flyingcolourslife.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Chris Cutler,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/chriscutler
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Williams Wealth Consultancy Limited,I - IFA,No,11-50,12,williamswealthconsultancy.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,JRF Financial Planning Limited,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Tunstall Financial Management Ltd,I - IFA,No,1-10,1,tunstallfm.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,JCM Financial Planning Limited,I - IFA,No,,,flyingcolourslife.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Emma Storey Independent Financial Planning Ltd,I - IFA,No,,1,emmastoreyifp.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,jch investment management limited,I - DFM without Centralised Research; I - IFA,No,201-500,224,kingswood-group.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Thompson & Richardson (Financial Services) Lincoln Limited,I - IFA,No,11-50,14,thompsonandrichardson.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Nicholsons PSP Limited,I - IFA,No,11-50,43,nicholsonsca.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Almond Financial Ltd,I - IFA,No,11-50,16,almondfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Nicholsons Accountants Ltd,I - IFA,No,11-50,43,nicholsonsca.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Witham Financial Services Limited,I - IFA,No,1-10,4,withamfs.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,JBD Financial Planning Limited,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Capital Direct Management (UK) Ltd,I - IFA,No,,,capitaladvisory.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=2&pl_m=40,Boston Direct Management (UK) Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,M Jones & Co Wealth Management,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/michaeljones
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,Carrmichaels Ltd,I - IFA,No,,,carrmichaels.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,MWC Group UK,I - IFA,No,11-50,61,mwcgroup.ch
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,Park Lidgett Wealth Management Limited,I - IFA,No,,,parklidgett.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,Interalpha Financial Planning Limited,I - IFA,No,,,interalphafp.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,The Glenfield Partnership Ltd,I - IFA,No,"501-1,000",753,openwork.uk.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,Investment For Life Limited,I - IFA,No,,,investmentforlife.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,Mark Smith Wealth Management Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,Peniston Financial Ltd,I - IFA,No,,,penfs.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,3R Financial Services Ltd,I - IFA,No,1-10,7,3rfinancialservices.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,Buck Wealth Management Limited,I - IFA,No,,2,buckwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,Aerarium Financial Solutions Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,P N Dales Ltd,I - IFA,No,,,pndales.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,Fiducia Comprehensive Financial Planning Limited,I - IFA,No,11-50,44,fiduciagroup.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=3&pl_m=40,Barker Maule Limited,I - IFA,No,11-50,6,barkermaule.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Andy Roe Financial Services,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,D B Wood Limited,I - IFA,No,11-50,27,dbwood.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Alexander Green & Partners Ltd,I - IFA,No,,,alexandergreenfs.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Leaf Financial Planning Limited,I - IFA,No,,,leafFP.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Crossley Thompson Wealth Management Ltd,I - IFA,No,,,crossleythompson.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,DHW Financial Services Ltd,-,Yes,2-10,,dhwfs.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Mulberry House Wealth Management Ltd,I - IFA,No,201-500,323,2plan.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Ace Financial Advisers Limited,I - IFA,No,,,aceadvisers.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Money Minder Financial Services (UK) Limited,I - IFA,No,11-50,9,money-minder.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,F H. Manning Financial Services Limited,I - IFA,No,1-10,4,fhmanning.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Jon Lawrence,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/jonlawrence
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Independent Wealth Management Consultants Ltd,I - IFA,No,11-50,12,iwmcltd.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Nick Tattersall Financial Planning Ltd,I - IFA,No,,,flyingcolourslife.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Independence Mortgage Network,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=4&pl_m=40,Stuart Davies Wealth Consultancy Ltd,I - IFA,No,,,stuartdavieswealthconsultancy.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=5&pl_m=40,UWM Wealth Management Limited,I - IFA,No,,,uwmwealth.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=5&pl_m=40,BWF Consultants Ltd,I - IFA,No,1-10,,bwfconsultants.com
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=5&pl_m=40,Stuart Burbidge,I - IFA,No,,,sburbidgewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=5&pl_m=40,B&C Financial Planning Ltd,I - IFA,No,1-10,1,bcfp.org.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=5&pl_m=40,Sapphire Financial Management Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=5&pl_m=40,Sentry Financial Ltd,I - IFA,No,,1,sentryfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=5&pl_m=40,Manor Bridge,,,,,
https://financialadvisers.co.uk/financial-planning/lincoln/?pl_p=5&pl_m=40,Sue Farr,I - IFA,No,,,farrfinancialplanning.co.uk
