Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Cyfoeth Jones Wealth Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Robin Williams Financial Planning Ltd,-,Yes,,,rwfinancialplanning.cymru
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Andrew Hughes Wealth Management Cyf,-,Yes,2-10,7,andrewhugheswm.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Morgan's Financial Services,-,Yes,2-10,5,morgansfs.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,JWH Ltd,-,Yes,,,hutchinsonfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Prospero Wealth Management Services LLP,I - IFA,No,,,yahoo.com
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Security Financial Services Ltd,-,Yes,,,security-financial.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Partneriaeth Seiont Partnership LLP,,,,,
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Connor Mason,-,Yes,,,fearndalewealth.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Mortgage Buyers Advice Centres Ltd,-,Yes,11-50,,grantpaynefs.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Meredith Williams Ltd,-,Yes,,,meredithwilliams.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Lifetime Financial Advisers Ltd.,I - IFA,No,,,lifetimefinancialadvisers.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,NVS Financial Planning,,,,,
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Boulton Financial Services Ltd,I - IFA,No,,,boultonfinancial.ifa-web.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=1&pl_m=40,Alcock Jones Financial Planning Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Portal Financial Management Ltd,I - IFA,No,,,portalfinancialmanagement.com
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Beardmore and Co Limited,I - IFA,No,,,beardmoreifa.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Belyn Financial Services Ltd,I - IFA,No,,,belyn.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Orme Financial Services Ltd,I - IFA,No,,,ormefinancial.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Spillane & Associates Limited,I - IFA,No,,,spillaneandassociates.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Morland Wealth Management Limited,,,,,
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,H&F Partners Ltd,I - IFA,No,,,hfpartners.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Antony David Earley,I - IFA,No,,,earleywm.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,AFM Wealth Management Ltd,I - IFA,No,,,thinkpositive.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Lawrence Sheridan Millar,-,Yes,,,dj-lawrence.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Sterling (Porthmadog) Cyf,,,,,
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,75point3@williamsdenton Ltd,I - IFA,No,,,75point3.com
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Tina Owen Financial Planning Limited,I - IFA,No,,,tinaowenfp.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Peter Johnson Financial Planning Ltd,I - IFA,No,,,peterjohnsonfp.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=2&pl_m=40,Bowden Financial Planning Ltd,I - IFA,No,,,bowdenfp.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,Affinity Wealth Management (NW) Ltd,I - IFA,No,,,affinitywealth.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,Spillane & Co Wealth Management Ltd,I - IFA,No,,,spillaneandcompany.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,G G Lewis and Company,,,,,
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,75point3 Financial Planning LLP,I - IFA,No,,,75point3.com
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,75point3 Limited,I - IFA,No,,,75point3.com
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,Cwmni Arian Cyf,,,,,
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,Bruce & Associates Wealth Management Ltd,I - IFA,No,,,bruceandassociates.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,GMH Financial Consultants Ltd,-,Yes,,,gmhfinancial.org.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,Gilder Wealth Management Limited,,,,,
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,Clwyd Consultancy Ltd,I - IFA,No,,,clwydassociates.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,Ascent Financial Planning Limited,I - IFA,No,11-50,10,beaufortfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,RPG Consulting Limited,I - IFA,No,,,rpgcfp.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,Atlantic Wealth Consultancy Ltd,Invalid domain,No,,,atlanticwc.co.ukpartnermatthewwilson
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,Cartref Mortgages Limited,I - IFA,No,,,cartrefmortgages.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=3&pl_m=40,Bateman Jarvis Limited,I - IFA,No,,,batemanjarvis.com
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=4&pl_m=40,Morris Financial Management Ltd,I - IFA,No,,,morrisfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=4&pl_m=40,Commodore Finance Ltd,I - IFA,No,,,commordorefinance.co.uk
https://financialadvisers.co.uk/financial-planning/llangefni/?pl_p=4&pl_m=40,J S Jones IFA Limited,-,Yes,,,jsjonesifa.co.uk
