Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Jappy Investment Services (Scotland) LTD,I - IFA,No,,,jappyinvestscotland.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Taylor Watson Financial Management Ltd,I - IFA,No,1-10,1,taylorwatsonfm.com
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Macleman Wealth Ltd,I - IFA,No,,,maclemanwealth.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Iain Brown,I - IFA,No,,,carlton-brown.com
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Mary MacFarlane,I - IFA,No,,,marymacfarlanefp.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Anderson & Jarvie,I - IFA,No,,,andersonjarvie.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,57 North Financial Planning Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Malcolm Scott,,,,,
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,W.G. STEWART FINANCIAL PLANNING LTD.,I - IFA,No,,,wgstewart.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Inverness Financial Advice LLP,I - IFA,No,,,invernessfa.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Achieve Financial Planning Ltd,I - IFA,No,1-10,2,achievefp.com
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Associated Legal & Financial Limited,I - IFA,No,,,alaf.biz
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,MCM Investment House LLP,I - IFA,No,1-10,4,mcminvestmenthouse.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,Advanced Investment & Retirement Planning (Scotland) Ltd,I - IFA,No,,,airplimited.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=1&pl_m=40,"Watson, Wood, and Sillars Limited",I - IFA,No,11-50,13,watsonwoodfp.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Home & Mortgage Shop Limited,I - IFA,No,,,invernessmortgages.com
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Mackenzie Taylor Wealth Management Limited,I - IFA,No,,,mtwm.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Elmbrae Mortgage & Pensions Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Macmillan Financial Planning Limited,I - IFA,No,1-10,1,macfp.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Leggatts Financial Services Limited,I - IFA,No,,2,leggattsfs.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Neil Carr,,,,,
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Grierson Wealth Management,I - IFA,No,,,griersonwm.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Lees Wealth Management,I - IFA,No,1-10,5,leeswm.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,North East Financial Planning Ltd,I - IFA,No,,1,northeastfinancialplanning.co.uk/
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Andrew Storey,I - IFA,No,"1,001-5,000",3514,birchwoodfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Cala Investments Limited,I - IFA,No,,,calainvestments.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Stewart Lyon Limited,I - IFA,No,,4,stewartlyon.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Campbell & McConnachie Limited,I - IFA,No,201-500,471,amberriver.com/cm
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Black Dog Financial Services Ltd,I - IFA,No,1-10,,blackdogifa.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=2&pl_m=40,Helen Williamson,I - IFA,No,,,helenwilliamsonfp.co.uk
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=3&pl_m=40,Julia Williams Financial Planning Ltd,I - IFA,No,201-500,471,amberriver.com/cm
https://financialadvisers.co.uk/financial-planning/nairn/?pl_p=3&pl_m=40,Alex M Grant & Company Limited,I - IFA,No,,,your-financial-adviser.com
