Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,Chervin Dell,,,,,
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,Allan Investment Management Ltd,-,No,1-10,,aim-ifa.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,O'Connor and Co (Financial Services) Limited,-,No,,,oconnorfs.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,Barfield Financial Advisors Ltd,-,No,,,barfieldmortgage.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,Barfield Wealth Ltd,-,No,,,barfieldwealthltd.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,Robert Bruce Associates Limited,-,No,,,robertbrucefp.com
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,Robert Cavinato,-,No,,,rsfinancialsolutions.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,King & Co Financial Services Limited,-,No,,,kingfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,Peter Jones and Associates,-,No,1-10,,peterjonesfinancialadvisers.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,Michael Forward Financial Services Ltd,-,No,1-10,,michaelforward.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,F G Watts Financial Advisers Ltd,-,No,11-50,4,fgwattsifa.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,OCM Wealth Management Ltd,I - DFM without Centralised Research,No,11-50,39,ocmwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,MHA Caves Wealth Limited,I - DFM without Centralised Research; I - IFA,No,11-50,35,mhacaves.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,The Retirement Desk Limited,-,No,,2,theretirementdesk.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=1&pl_m=40,David Williams IFA Ltd,-,No,51-200,49,dwifa.co.uk
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=2&pl_m=40,Jervis Financial Services Limited,,,,,
https://financialadvisers.co.uk/financial-planning/northampton/?pl_p=2&pl_m=40,JJW Financial Planning Limited,-,No,1-10,,financialplanning.org.uk
