Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Anglian Wealth,,,,,
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Jones Financial (Norwich) Limited,I - IFA,No,1-10,6,jonesfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Lantern Financial Planning Ltd,I - IFA,No,,,lanternfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Brancaster House Financial Planning Ltd,I - IFA,No,11-50,8,brancasterhouse.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Alan Boswell & Company Limited,I - IFA,No,201-500,289,alanboswell.com
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Alan Boswell Employee Benefits Ltd,I - IFA,No,201-500,289,alanboswell.com
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Rockwealth (Norwich) Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,East Anglia Wealth Management Limited,I - IFA,No,1-10,3,eawealth.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,CSR Planning Limited,I - IFA,No,1-10,3,goalsbased.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Scott Ampleford,I - IFA,No,,,gravitaswm.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Seeker Financial Planning Limited,I - IFA,No,,,seekerfinancialplanning.com
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Anderson Wealth Planning Limited,-,No,,,andersonwealthplanning.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Fiona Sharp,I - IFA,No,,,vervefinancial.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Cooper & Co (F.S.) Limited,,,,,
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=1&pl_m=40,Pacific (Norwich) Limited,-,Yes,,,pacificgroup.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,Daniel Francis,-,Yes,,,beaglefinancialadvice.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,S G Wealth Management Limited,-,Yes,11-50,32,sgwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,Cavell Rose Ltd,I - IFA,No,,2,cavellrose.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,Green Sky Wealth Limited,-,Yes,2-10,3,greenskywealth.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,Green Island Wealth Management Ltd,I - IFA,No,,,greenislandwm.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,PFG Investments Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,Halleywell Limited,I - IFA,No,,,halleywell.com
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,Premier Financial Group Limited,I - IFA,No,11-50,16,premierfinancialgroup.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,TS Financial Planning Ltd,I - IFA,No,1-10,6,tailoredsolutionswm.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,MCM Bespoke Investment Services Limited,I - IFA,No,,,mcm-bespoke.com
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,Pennygate Financial Associates Limited,I - IFA,No,,,pennygateassociates.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,Jeremy Hooke,,,,,
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,Roberts Mackie Winstanley,-,Yes,11-50,6,rmw-ifa.co.uk
https://financialadvisers.co.uk/financial-planning/norwich/?pl_p=2&pl_m=40,Planit Financial Limited,,,,,
