Source,Company Name,Website Link,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Tom Buck,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Calder Financial Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Chervin Dell,,,,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Vanguard Mortgage Solutions Ltd,vanguardmortgagesolutions.co.uk,I - IFA,No,2-10,4
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Gary Buckley,buckleyroseconsulting.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,WREN STERLING FINANCIAL PLANNING LIMITED,wrensterling.com,I - IFA,No,201-500,214
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Sterling Financial Services Limited,sterlingfs.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,George Square Financial Management Ltd,george-square.co.uk,I - IFA,No,11-50,17
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Taylor McGill Financial Services Ltd,taylormcgillfs.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Stephen Eve Financial Planning Ltd,stephenevefinancial.com,I - IFA,No,2-10,3
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Principal Financial Services (Nottingham) Limited,principal-fs.co.uk,I - IFA,No,2-10,4
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,UHY Financial Planning Limited,uhy-uk.com,I - IFA,No,"501-1,000",578
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Nelsons Solicitors Limited,nelsonslaw.co.uk,I - IFA,No,201-500,238
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Harold Wilson Financial Services Limited,wilorg.com,I - IFA,No,51-200,30
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=1&pl_m=40,Bradstock Bourne Limited,bradstockbourne.co.uk,I - IFA,No,,2
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Castle Rock Financial Planning Ltd,castlerockfp.co.uk,I - IFA,No,2-10,2
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Fiscal Engineers Limited,fiscalengineers.com,I - IFA,No,11-50,40
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Investment Sense Ltd,investmentsense.co.uk,I - IFA,No,2-10,4
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Carter Legrand Wealth Strategies Limited,carterlegrand.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,UKIFA Limited,uk-ifa.com,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Page Kirk Financial Services LLP,pkfs.co.uk,I - IFA,No,,
https://financialadvisers.co.uk/financial-planning/nottingham/?pl_p=2&pl_m=40,Joanna Toon Wealth Management Ltd,joannatoon.co.uk,I - IFA,No,,
