Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Chervin Dell,,,,,
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Tom Buck,,,,,
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Calder Financial Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Grayson Lewis Financial Planning Limited,I - IFA,No,1-10,4,graysonlewis.co.uk
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Smith Eliot Financial Management Ltd,I - IFA,No,11-50,8,smitheliotfinancialmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Blackbrook Financial Services Ltd,I - IFA,No,,2,blackbrookfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Indaba Wealth Management Limited,I - IFA,No,,,indabawealth.com
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Calver Wealth Management,I - IFA,No,1-10,,calverwm.co.uk
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Tobias Colton,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/tobiascolton
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,James & James Financial Advisers Limited,I - IFA,No,1-10,7,jandjadvisers.co.uk
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Financial Tracking & Advice Limited,I - IFA,No,,,btinternet.com
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Watchorn Financial Services Ltd,I - IFA,No,,,watchornfs.co.uk
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Consilium Wealth Limited,,,,,
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Martin Scholes,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/martinscholes
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=1&pl_m=40,Abbey Wealth Management Ltd,I - IFA,No,,1,abbeywealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=2&pl_m=40,Key Financial Wealth Management Ltd,I - IFA,No,,,sjpp.co.ukkfwm
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=2&pl_m=40,Alexander De Lisle,,,,,
https://financialadvisers.co.uk/financial-planning/oakham/?pl_p=2&pl_m=40,Chapmans Financial LLP,I - IFA,No,,,chapmansfinancial.co.uk
