Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Bradley Financial Services Limited,,,,,
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,The Mortgage Advice Centre,I - IFA,No,,6,themortgageadvicecentre.net
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Arkinson Mortgage & Investment Solutions Ltd,I - IFA,No,,,arkinson-ifa.co.uk
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Aidan O'Neill,,,,,
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Universal Finance (Omagh) Ltd,I - IFA,No,,2,universal-finance.co.uk
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Temple Gray Limited,I - IFA,No,,,templegray.co.uk
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Wallace Financial Services,,,,,
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Gerard Moore,Invalid domain,No,,,partnership.sjp.co.ukpartnergerardmoore
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Sean Hurson,,,,,
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Peter Mulrone,I - IFA,No,,,petermulronefp.co.uk
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Strabane Mortgage Centre Ltd,I - IFA,No,,,strabanemortgagecentre.net
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Sharon Quinn,I - IFA,No,,,sharonquinnfp.co.uk
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,Stephen Wilson,,,,,
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,M.R. Financial Services,I - IFA,No,,,mrfinancial.info
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=1&pl_m=40,CL FINANCIAL SERVICES (ENNISKILLEN) LTD,I - IFA,No,,,clfinancialservices.com
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=2&pl_m=40,C D D Financial Services,,,,,
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=2&pl_m=40,Ewan Richmond and Helen Richmond Partnership,I - IFA,No,,,richmond-ifa.com
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=2&pl_m=40,Darryl Martin Investments Limited,I - IFA,No,,,darrylmartin.co.uk
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=2&pl_m=40,Absolute Protection and Wealth  Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=2&pl_m=40,Peter Falls,,,,,
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=2&pl_m=40,Brian Guy,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/brianguy
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=2&pl_m=40,Barry Guy,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514,sjpp.co.uk/barryguy
https://financialadvisers.co.uk/financial-planning/omagh/?pl_p=2&pl_m=40,McGlone & McCabe Estate Agents & Financial Services,I - IFA,No,,5,mcglonemccabe.com
