Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Tweed Financial Services Ltd,I - IFA,No,,,tweedfs.co.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Reed Financial Planning Ltd,I - IFA,No,,2,reedfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Broadmeadows Financial Planning Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/broadmeadowsfinancialplanning
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Executive Financial Services Ltd,I - IFA,No,,,efsltd.uk.com
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Lowland Financial Services Limited,I - IFA,No,,6,lowlandfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,William White,I - IFA,No,,1,billwhiteifa.co.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Torphin Financial Planning Ltd,I - IFA,No,1-10,2,torphin.co.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,ARIES FINANCIAL LTD,I - IFA,No,1-10,4,ariesfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Argyll Independent Ltd,I - IFA,No,"5,001-10,000",1289,argyll-bute.gov.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Tweedside Financial Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Heard Hamilton Financial Planning Ltd,I - IFA,No,,1,heardhamilton.co.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Gosford Financial Services Ltd,I - IFA,No,,,gosfordfs.co.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Kilgour Wealth Management Limited,I - IFA,No,,,kilgourwealth.co.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Guthrie Wealth Consultancy Ltd,I - IFA,No,,,guthriewealthconsultancy.co.uk
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=1&pl_m=40,Peter Wyper,,,,,
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=2&pl_m=40,Kenneth Murphy,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/kennethmurphy
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=2&pl_m=40,M & W Mortgages Limited,,,,,
https://financialadvisers.co.uk/financial-planning/peebles/?pl_p=2&pl_m=40,Strategic Wealth Solutions Limited,I - IFA,No,1-10,5,strategicwealthsolutions.co.uk
