Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Profile Financial Solutions Limited,I - IFA,No,51-200,45,profilepensions.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Napthens Wealth Management Limited,I - IFA,No,,,napthens.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Moore and Smalley LLP,I - IFA,No,11-50,14,mooreandsmalleyllp.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Fox Lifestyle Financial Planning Ltd,I - IFA,No,,,foxlifefp.com
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Trafford & Houghton Financial Planning Ltd,I - IFA,No,,,traffordandhoughton.com
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Efficient Financial Planning Limited,I - IFA,No,201-500,323,2plan.com
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,IPP Financial Services LLP,I - IFA,No,,,ippgroup.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Questa Wealth & Financial Planning Limited,I - IFA,No,,,questawealth.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,CJT Financial Planning Ltd,I - IFA,No,,13,cjt.uk.com
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Jones Cameron Financial Services Limited,I - IFA,No,,,jonescameron.net
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Chancery Law (Southport) Limited,,,,,
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,MediPro Financial Services Ltd,I - IFA,No,,,mediprofs.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,M.R. Financial Services Ltd,I - IFA,No,,,mrfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Archetype Financial Planning Limited,I - IFA,No,,,archetypefp.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=1&pl_m=40,Juniper Wealth Management Limited,I - IFA,No,1-10,10,juniperwealth.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,Sage Financial Management Limited,I - IFA,No,,,sagegroup.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,Barrow Financial Services Ltd,I - IFA,No,,,barrowfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,Logical Financial Advice Limited,,,,,
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,City Investment and Insurance Services Ltd,I - IFA,No,,,cityinvest.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,Mortgages by Mcateer Ltd,I - IFA,No,1-10,2,mortgagesbymcateer.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,DCN Wealth Management Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,MPI Investments Limited,I - IFA,No,,,mpi-investments.com
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,Springfield Financial Services Limited,I - IFA,No,,,springfieldfs.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,Sharon Ball Financial Planning Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/sharonballfinancialplanning
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,Charter Wealth Management Limited,I - IFA,No,,,cfpllp.com
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,Fulwood Wealth Management Limited,I - IFA,No,,,fwm.uk.com
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,Bailey Financial Services (Preston) Ltd,I - IFA,No,,,bailey-fs.co.uk
https://financialadvisers.co.uk/financial-planning/preston/?pl_p=2&pl_m=40,P N M Financial Management Limited,I - IFA,No,1-10,6,pnmuk.co.uk
