Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Pyper Financial Planning,I - IFA,No,11-50,2,financialforesight.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Financial Foresight (NI) Limited,I - IFA,No,11-50,2,financialforesight.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Lawrence Patterson Financial Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,S&S Mortgage Solutions Ltd,I - IFA,No,,,ssmortgage.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Joanne Smyth,I - IFA,No,,,joannesmythfinancialconsultancy.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Ivan Whan,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Martin Sloss Financial Planning Limited,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Conroy Financial Planning LLP,I - IFA,No,,2,conroyfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,CRN Financial Services Ltd,I - IFA,No,,10,crnfinancialgroup.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Kevin Munro,I - IFA,No,,,kevinmunrofp.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Alan Reid Financial Services (NI) Ltd,I - IFA,No,,,alanreidfinancialservices.co.uk/
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,McDowell Financial Services Ltd,I - IFA,No,,,mcdowellfs.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Law & Co Financial Management Ltd,I - IFA,No,,,thelaws.ie
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Philip Carvill & Company Limited,I - IFA,No,,,pcarvill.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=1&pl_m=40,Paul Burns,I - IFA,No,,,stevensonburns.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,M & D Financial Management Limited,I - IFA,No,,,manddfinancial.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,Andrews Insurances Life & Pensions,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,DG Financial Wealth Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,Epsilon Planning LLP,I - IFA,No,,,jmsbox2.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,McAuley Financial Limited,I - IFA,No,,4,mcauleyfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,Pacem Financial Advisory Ltd,I - IFA,No,11-50,18,pacem-advisory.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,William David Smyth,I - IFA,No,"501-1,000",753,openwork.uk.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,Hunter FS Limited,I - IFA,No,,,hunterfinancialservices.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,Bluewater Financial Planning Limited,I - IFA,No,,2,bluewaterfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,Finance Matters (NI) Limited,I - IFA,No,1-10,,financemattersni.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,Martyn Young,I - IFA,No,,,myoungassociates.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,Torch Financial Planning Limited,I - IFA,No,1-10,1,torchfp.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,Medical & General Financial Solutions Limited,I - IFA,No,1-10,,medicalandgeneral.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,John Trainor,I - IFA,No,,,johntrainorfp.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=2&pl_m=40,RM Financial Planning Ltd,I - IFA,No,,,rmcfp.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Financial Prospects (N.I.) Ltd,I - IFA,No,,,financialprospectsni.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Arthur Dodds & Co Ltd,I - IFA,No,1-10,5,arthurdodds.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,McClelland Yarr Financial Services Ltd,I - IFA,No,11-50,6,mcclellandyarr.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Stephen McClelland Financial Management Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,NI Property Finance Ltd,I - IFA,No,,,nipropertyfinance.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,JRG Financial Planning Limited,I - IFA,No,,,jrgfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Kenneth Brewster,I - IFA,No,,,brewstersfs.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Bartholomew & James (Financial Services) Limited,I - IFA,No,1-10,3,bartjames.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Mark Robert Surgeon,I - IFA,No,11-50,9,akfp.net
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,S Rankin & Co (Life & Pensions) Limited,I - IFA,No,11-50,,srankin.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Nolan Andrews Wealth Management Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Hillsborough Financial Management Ltd,I - IFA,No,,,barbaracopeland.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Stephen Eaton & Company,I - IFA,No,,,stepheneaton.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Leeburn Wealth Management LLP,I - IFA,No,1-10,,leeburnfinancial.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=3&pl_m=40,Gribben & Watt Financial Planning Limited,I - IFA,No,,,gribbenandwatt.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Leeburn Imperial Wealth Management  LLP,I - IFA,No,1-10,,leeburnfinancial.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Crawford Mulholland Wealth Limited,I - IFA,No,1-10,6,crawfordmulholland.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Kerr Henderson (Financial Services) Limited,I - IFA,No,51-200,31,kerrhenderson.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Carleton Financial Planning Limited,I - IFA,No,,,carletonfp.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,AKFP Ltd,I - IFA,No,11-50,9,akfp.net
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Ronald James Savage,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Dowling Financial Planning (DFP) Limited,I - IFA,No,"501-1,000",753,openwork.uk.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,S Hill & Co Investment Advisers Limited,I - IFA,No,11-50,2,investmentdecisions.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Active Money Solutions Limited,I - IFA,No,,,activemoneysolutions.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Mint Wealth Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Platinum Financial Planning Limited,I - IFA,No,11-50,18,platinumgroup.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Finlay Wealth Management LLP,I - IFA,No,1-10,3,finlaywealth.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Compass Financial Associates Limited,I - IFA,No,1-10,3,compassfa.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Richardson Hewitt Financial Planning Limited,I - IFA,No,1-10,2,richardsonhewittfp.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=4&pl_m=40,Independent Choice,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,NI Money,I - IFA,No,,,nimoney.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,William Guy Power,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,D S McDermott Financial Planning Ltd,I - IFA,No,,,dsmcdermottfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Johnston Campbell Ltd,I - IFA,No,201-500,471,amberriver.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Anthony Newman,I - IFA,No,,1,newmanrea.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Neill Gregson,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/neillgregson/partner/neillgregson
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,McAlpine Brown Smyth Ltd,I - IFA,No,1-10,5,mbsifp.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Newbridge Financial Planning Limited,I - IFA,No,1-10,3,newbridgefinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Bloomfield Corporate Consultancy Limited,I - IFA,No,1-10,1,bloomfieldcorporate.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Promethean Financial Consultants Limited,I - IFA,No,1-10,4,prometheanfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Buchanan Johnston Flynn Limited,I - IFA,No,,,moneyhelp.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Professional Financial LLP,I - IFA,No,,,professionalfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Navigate IFA Ltd,I - IFA,No,11-50,5,navigateifa.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Expert Pensions Advice LLP,I - IFA,No,,,expertpensionsadvice.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=5&pl_m=40,Glenwin Hardy Limited,I - IFA,No,,,hardysfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=6&pl_m=40,Hutchison & White Limited,I - IFA,No,,,hutchisonwhite.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=6&pl_m=40,The Mortgage Bureau Northern Ireland,I - IFA,No,,,tmbni.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=6&pl_m=40,Samantha-J Snowball,,,,,
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=6&pl_m=40,TM Financial Planning Ltd,I - IFA,No,1-10,,tmfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=6&pl_m=40,Philip Baker,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/philipbaker
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=6&pl_m=40,Milecross Financial Solutions Limited,I - IFA,No,,,milecrossfinancialsolutions.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=6&pl_m=40,G&H Bell ( Life & Pensions) Ltd,I - IFA,No,,,ghbell.net
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=6&pl_m=40,Work Life Wealth Limited,I - IFA,No,,,worklifewealth.com
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=6&pl_m=40,Legacy Wealth Management Limited,I - IFA,No,11-50,29,legacywm.co.uk
https://financialadvisers.co.uk/financial-planning/saintfield-bt24/?pl_p=6&pl_m=40,Triangle 3,I - IFA,No,11-50,1,triangle3.net
