Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,McEwan Wealth Management Limited,I - IFA,No,,,mcewanwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Timothy Hugh Morland,I - IFA,No,,,morlandpotter.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,DACO Associates Limited,I - IFA,No,11-50,5,masonsifa.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Escom Ltd,I - IFA,No,,,escomifa.com
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Escom Wealth Limited,I - IFA,No,,,escomwealth.com
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Darwin Financial Management Ltd,I - IFA,No,,,darwindirect.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Holland Morgan Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Murray Round Wealth Management Limited,I - IFA,No,,,murrayround.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Kingsland Financial Limited,I - IFA,No,,,kingslandfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Beach UK Ltd,I - IFA,No,,,beachifa.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,2020 Financial Advice Limited,,,,,
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Rice & Co Financial Management Limited,,,,,
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Pi Financial Ltd,I - IFA,No,11-50,15,pifinancial.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Belvidere Financial Ltd,I - IFA,No,,,belviderefinancial.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=1&pl_m=40,Kingsland Wealth Management Limited,I - IFA,No,,,kingsland-ifa.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Portland Financial Planning Limited,I - IFA,No,,,portland-fp.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Hamilton Financial Options Limited,I - IFA,No,"501-1,000",632,hamiltongroup.com
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,"Healthy, Wealthy & Wise Limited",I - IFA,No,,,ljfp.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Lewis Wealth Management Limited,I - IFA,No,,,lewiswealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Sweetman Financial Planning Ltd,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/andrewsweetman
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Higgs Financial Solutions Limited,I - IFA,No,,,higgsfs.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,The Protectors Financial Ltd,I - IFA,No,,,theprotectorsfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Roger T Hulme Limited,I - IFA,No,,,rthltd.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Crown Wealth Management Limited,I - IFA,No,1-10,5,crownwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Mardon Financial Advisers Limited,I - IFA,No,1-10,5,mardons.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,GEE 7 WEALTH MANAGEMENT LIMITED,I - IFA,No,,,gee7.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Darwin Wealth Management Ltd,I - IFA,No,1-10,6,darwinwealth.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Teresa Jane Fraser,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/teresafraserwm
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Morton-Wilson Associates Limited,I - IFA,No,1-10,,mwalimited.com
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=2&pl_m=40,Andrew Haxton & Co Ltd,I - IFA,No,,,andrewhaxton.co.uk
https://financialadvisers.co.uk/financial-planning/shrewsbury/?pl_p=3&pl_m=40,Claire Hughes,,,,,
