Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,Buchanan & Associates Financial Planning Limited,I - IFA,No,1-10,,buchananadvice.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,Edward Wilson Financial Ltd,I - IFA,No,,,edwardwilsonfs.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,Stuart Gallagher Financial & Estate Planning Ltd,I - IFA,No,,,sgfinancial.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,Create Financial Solutions Limited,I - IFA,No,11-50,3,createfs.com
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,Wealthway Limited,I - IFA,No,,,wealthway.com
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,Bureau of Independent Financial Advice Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,The Pike Partnership Ltd,I - IFA,No,,,thepikepartnership.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,Granite Financial Planning Ltd,I - IFA,No,,,granitefp.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,WTW Ltd,I - IFA,No,1-10,6,welshandtaylorwealth.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,Charles Henderson,I - IFA,No,,,hendersonfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,ROCKWEALTH ABERDEEN LTD,I - IFA,No,11-50,22,aberdeenifa.com
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,City Financial (Aberdeen) Ltd,I - IFA,No,11-50,36,city-financial.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,McCue Wealth Management Limited,I - IFA,No,,5,mccuewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,Gary Walker Wealth Management Limited,I - IFA,No,11-50,19,garywalker.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=1&pl_m=40,Focus Financial Advisory Ltd,I - IFA,No,1-10,8,focusfa.com
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Scott James & Associates Ltd,I - IFA,No,,3,scottjamesandassociates.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Amanda Louise Knox,I - IFA,No,,,mandyknox.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,William Wilson Wealth Management Limited,I - IFA,No,,,wilsonwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Alan Rutherford Wealth Management Ltd,I - IFA,No,1-10,10,alanrutherfordwealth.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Simon Lipp,I - IFA,No,,,simonlipp.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Fine Plan Ltd,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/margarethoulihan
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Kenneth Melville,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514,sjpp.co.uk/kmelville
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Gregor Howitt Wealth Management Ltd,I - IFA,No,1-10,11,gregorhowitt.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Buchan Wealth Management Ltd,I - IFA,No,1-10,8,buchanwm.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Vince Heneghan,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514,sjpp.co.uk/vincentheneghan
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,DSB Wealth Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Miller & Co Investment Management Ltd,I - IFA,No,,,millerandco.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Ferguson Law Financial Services Ltd,I - IFA,No,1-10,3,fergusonlaw.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,A2M Financial & Estate Planning Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=2&pl_m=40,Johnston Carmichael Wealth Limited,I - IFA,No,,,jcwealth.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Acumen Employee Benefits Limited,I - IFA,No,11-50,8,acumeneb.com
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Acumen Financial Planning Limited,I - IFA,No,51-200,62,acumenfp.com
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,McHardy Financial Limited,I - IFA,No,,,mchb.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Futura Investments Limited,I - IFA,No,1-10,2,futurainvestments.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Kilkee Financial Services Limited,I - IFA,No,11-50,38,aabwealth.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,AAB Wealth Limited,I - IFA,No,11-50,38,aabwealth.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Russell Gibson Financial Management Limited,I - IFA,No,11-50,14,russellgibson.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,McKnight Associates Wealth Management,I - IFA,No,11-50,9,mcknightassociates.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Raeburn Christie Clark & Wallace LLP,I - IFA,No,51-200,76,raeburns.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Aberdein Considine & Co.,I - IFA,No,201-500,397,acandco.com
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Atholl Scott Financial Services Limited,I - IFA,No,1-10,8,asfs-ltd.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Norman Gray,,,,,
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Optima Financial Services Ltd.,I - IFA,No,1-10,,optima-fs.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,Professional Financial Advisers Ltd,I - IFA,No,,,pfaltd.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=3&pl_m=40,JP Maxwell Financial Management Ltd,I - IFA,No,,,jpmaxwell.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,Mark Alexander Gordon Taylor,I - IFA,No,"501-1,000",753,openwork.uk.com
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,James & George Collie Financial Management Limited,I - IFA,No,51-200,46,jgcollie.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,Wealthcare Management Limited,I - IFA,No,,4,wealthcareifa.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,Brimmond Financial Management Ltd,I - IFA,No,1-10,1,brimmond.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,Ledingham Chalmers Financial Limited,I - IFA,No,51-200,176,ledinghamchalmers.com
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,McLean Financial Services Ltd,I - IFA,No,1-10,6,mcleanfs.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,Hastings Financial (Aberdeen) Ltd,I - IFA,No,,1,hastingswealthmanagement.net
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,Clifton Wealth Partnership (Aberdeen) Ltd,I - IFA,No,,,cliftonwealthpartnership.co.uk/client
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,Broad Wealth Management Ltd,I - IFA,No,,,broadwealth.co.uk
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,RW Morrison Wealth Management Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/rwmorrisonwealthmanagement
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,Peterkins,I - IFA,No,51-200,55,peterkins.com
https://financialadvisers.co.uk/financial-planning/stonehaven/?pl_p=4&pl_m=40,Adam Sinclair & Associates Wealth Management Ltd,I - IFA,No,,,asawm.co.uk
