Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Nathan  Bater,,,,,
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Stephen Hubbuck,,,,,
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Charlene Coulbeck,,,,,
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Stuart Lane,,,,,
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Daniel Lowdon,,,,,
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Quantock Financial Services Ltd,I - IFA,No,1-10,4,quantockfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,121-Advice Ltd,I - IFA,No,,1,121-advice.com
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,W&T Limited,I - IFA,No,1-10,7,blackdownfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Beaufort Financial Planning (South West) Limited,I - IFA,No,,,beaufortplanningsw.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Invest Southwest Ltd,I - IFA,No,11-50,37,investsouthwest.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Govier Financial Planning Limited,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/govierfinancialplanningltd
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Cooper Associates Wealth Management Ltd,I - IFA,No,51-200,77,thecooperway.com/wealth-management
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Keyte Limited,I - IFA,No,1-10,7,keyte.co
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Quantock Analytical Ltd,I - IFA,No,1-10,4,quantockanalytical.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=1&pl_m=40,Cole Wealth Management Ltd,I - IFA,No,"1,001-5,000",3514,colewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Lloyd and Whyte (Financial Services) Limited,I - IFA,No,201-500,144,lloydwhyte.com
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Kenyon Clarke Financial Services Ltd,I - IFA,No,1-10,2,kenyonclarke.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Plumptree Kilby,I - IFA,No,,,pkifa.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Oyster Financial Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,KME Financial Planning Limited,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/kmefinancialplanning
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Heritage Independent Financial Consultancy Ltd,I - IFA,No,,,heritage-ifc.com
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,A M Ruthven & Associates Ltd,I - IFA,No,1-10,1,ruthvenassociates.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,STEVEN SIDHU WEALTH MANAGEMENT LTD,I - DFM without Centralised Research; I - IFA,No,1,60,visionifp.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Western Financial Planning Ltd,I - IFA,No,,1,westernfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Liberate Wealth (Taunton) Limited,I - IFA,No,,,staffordhouseinvestments.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Albert Goodman Financial Planning Limited,I - IFA,No,201-500,284,albertgoodman.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Brett Andrews,I - IFA,No,,,bafinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Financial Planning For Professionals Limited,I - IFA,No,,,mlifa.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Milsted Langdon Financial Services Limited,I - IFA,No,,,mlifa.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=2&pl_m=40,Nigel Cousins,,,,,
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Ross Harrison,I - IFA,No,,,mainsailfp.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Jade Burrell,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/burrellfinancialplanning
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Vision Financial Ltd,I - DFM without Centralised Research; I - IFA,No,1,60,visionifp.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Sean Davey,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514,sjpp.co.uk/seandavey
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Ford Wealth Management LLP,I - IFA,No,,,darrenford.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Premier Financial Planning Ltd,I - IFA,No,11-50,,pfp-ltd.com
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Chetwood Wealth Management Ltd,I - IFA,No,11-50,25,chetwoodwm.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Chetwood Private Wealth Limited,I - IFA,No,,,CHETWOODPW.CO.UK
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Emericks Financial Services Limited,I - IFA,No,,,emericksfs.co.uk
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Lee Dunkley Wealth Management LTD,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/leedunkleywealthmanagement
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Andy Stowell Financial Planning Limited,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/andystowellfinancialplanning
https://financialadvisers.co.uk/financial-planning/taunton/?pl_p=3&pl_m=40,Nuttall Wealth Management Ltd,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/nuttallwm
