Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Tim Hall,,,,,
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,King's Court Financial Planning LLP,I - IFA,No,,,kcfp.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Montgomery Charles Financial Management Ltd,I - IFA,No,11-50,13,montgomerycharles.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,FX Mortgages Limited,I - IFA,No,,6,fxmortgages.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Kingfisher Independent Financial Planning LLP,I - IFA,No,1-10,1,kingfisherifa.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Thomas Porter,I - IFA,No,,,thomasporterwm.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Andover Financial Planning Ltd,I - IFA,No,,,cranbournehouse.org
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,DJ Financial Advice Ltd,I - IFA,No,1-10,2,djfa.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Richmonde Laine Wealth Management Ltd,I - IFA,No,,4,richmondelaine.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Wiltshire Wealth Ltd,I - IFA,No,1,2,wiltshirewealth.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Church Financial Services Limited,I - IFA,No,,,churchfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Brampton Financial Management Ltd,I - IFA,No,,,bramptonfinancialmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,IMI FP Ltd,I - IFA,No,,,imigroup.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Hawthorn Financial Services (Wealth Management) Limited,I - IFA,No,,,hawthornfs.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=1&pl_m=40,Thomas Reynolds,I - IFA,No,,,thomasreynoldsfp.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Croudace Financial Services Ltd,I - IFA,No,,,samuelcroudacewm.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Elite Financial Planning Limited,I - IFA,No,,,elitefp.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Nicholas Corfield,I - IFA,No,,,impactfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,LAP Mortgage Management Ltd,I - IFA,No,,,lparmleymm.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Catalyst Financial Consulting LLP,I - IFA,No,,,catalystfinancialconsulting.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Inspirational Financial Planning Ltd,I - IFA,No,,,inspirationalfp.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Hartsfield Financial Services Limited,I - IFA,No,11-50,19,hartsfield.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Knee Financial Planning Ltd,I - IFA,No,,,kneefinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,LTC Solutions Ltd,I - IFA,No,,,ltcsolutionsltd.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Jerime Attah FP Ltd,I - IFA,No,,,jerimeattah.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Bath & West Wealth Management Ltd,I - IFA,No,,1,bathandwestwealth.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Ethical Market Place Limited,I - IFA,No,,2,ethicalmarketplace.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Jack Simpson,,,,,
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Ian St John Hendry,I - IFA,No,1-10,,professional-partners.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=2&pl_m=40,Calon Wealth Management Ltd,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/calonwealthmanagement
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Home Group Financial Ltd,I - IFA,No,1-10,6,homegroupfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Integrated Financial Solutions Ltd,I - IFA,No,,,integratedfs.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Mayne Solutions Limited,I - IFA,No,1-10,3,premfp.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,C J Hannan Ltd,I - IFA,No,,,cjhannan.biz
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,McKenzie Wealth Management Ltd,I - IFA,No,,,mckenziewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Accrue Investment Management Ltd,I - IFA,No,,,accrueinvest.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Fidelius Ltd,I - IFA,No,51-200,126,fidelius.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Zen Wealth LLP,I - IFA,No,11-50,1,zen-wealth.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Advance Investments Limited,I - IFA,No,1-10,9,advanceinvestments.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,City Financial Planning Ltd,I - IFA,No,11-50,33,cityfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Matheson Charles Limited,I - IFA,No,1-10,2,mathesoncharles.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Oculus Wealth Management (Bradford on Avon) Limited,I - IFA,No,11-50,44,oculuswealth.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Watson Financial Limited,I - IFA,No,,8,watsonfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Combined Financial Strategies Ltd,I - IFA,No,1-10,1,cfsorg.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=3&pl_m=40,Bath Mortgages Online Limited,I - IFA,No,,,bathmortgagesonline.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Owen and Associates,I - IFA,No,,,owenandassociates.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Morgans Ltd,I - IFA,No,11-50,14,mfgl.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Belgrave Asset Management Limited,I - IFA,No,1-10,,belgraveifa.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Sulis Wealth Limited,I - IFA,No,,1,suliswealth.co.uk/
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Bailey Cook Financial Planning Ltd,I - IFA,No,1-10,10,baileycookfp.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Synthesis Wealth Management Ltd,I - IFA,No,1-10,6,synthesis-wealth.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Cooper Knowles Limited,,,,,
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Golden Gate IFA Ltd,I - IFA,No,1-10,2,goldengateifa.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Barlow & Bartlett Wealth Management,I - IFA,No,,,barlowandbartlettwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Oliver Financial Planning Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Unividual Limited,I - IFA,No,11-50,20,unividual.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Meridian FS Limited,I - IFA,No,1-10,1,meridianfs.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Mike Coram Associates,I - IFA,No,,,coramfinancial.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Accord International Planning Ltd,I - IFA,No,,,accordinternationalplanning.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=4&pl_m=40,Fresh Perspective Financial Planning Ltd,I - IFA,No,1-10,2,fp-fp.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,William Dixon & Associates Ltd,I - IFA,No,11-50,7,wdanda.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,Bourlet Financial Planning Limited,I - IFA,No,1-10,10,bourletconsulting.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,Hoadley Financial Planning Ltd,I - IFA,No,1-10,3,hoadley-financial.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,Marta Semenowicz,I - Asset Manager with Multi-Asset; I - IFA,No,"5,001-10,000",2710,mandg.com
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,Devizes Financial Services Ltd,I - IFA,No,1-10,2,devizesfs.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,Ferris & Culverwell Financial Services Ltd,I - IFA,No,51-200,3,ferrisandculverwell.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,Kennet Financial Services LLP,I - IFA,No,,,kennetfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,Peter Marks,I - IFA,No,,,pmfp.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,Karl Wiltshire,I - IFA,No,,,wiltshirewm.co.uk
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,Cepen Independent Financial Advice Limited,,,,,
https://financialadvisers.co.uk/financial-planning/trowbridge/?pl_p=5&pl_m=40,Perry Insurance Consultants Ltd,I - IFA,No,,,aol.com
