Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Chervin Dell,,,,,
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Tom Buck,,,,,
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Calder Financial Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Whealth Limited,,,,,
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Jeremy Forster,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/jnfwealthmanagement
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,PRM Wealth Management Ltd,-,No,1-10,,connectedfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Johnson Gibbs,I - IFA,No,,,johnsongibbs.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Bateman Asset Management Ltd,I - IFA,No,11-50,9,bateman-group.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Davidson Pert Financial Associates Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Warwick Financial Solutions Limited,I - IFA,No,11-50,8,warwickfs.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Newroad Financial Limited,-,No,,,newroadfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Mark Bagley,,,,,
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Fay Arrundale,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/fayarrundale
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Bourne Taylor Neville Limited,I - IFA,No,201-500,471,amberriver.com/midlands
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=1&pl_m=40,Coventry Money Centre Limited,I - IFA,No,,,coventrymoneycentre.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Beaufort Wealth Management Limited,I - IFA,No,1-10,11,beaufortwmltd.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Velocity Financial Planning Ltd,I - IFA,No,1-10,3,velocityfp.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,KLO Financial Services Ltd,I - IFA,No,11-50,22,klofinancialservices.com
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Jenny Lomas,I - IFA,No,,,jlfa.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Richard Cupples,-,No,,,richardcuppleswm.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Shand Financial Planning Limited,,,,,
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Chartered Financial Solutions Limited,-,No,,4,charteredfs.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Leam Financial Services,-,No,1-10,5,leamfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Wealth Wizards Benefits Limited,-,No,51-200,100,wealthwizards.com
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Parkway Consulting,-,No,,1,parkwayconsulting.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Amherst Financial Management Ltd,-,No,,,amherstfm.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Taylor's Risk & Healthcare Limited,-,No,,,taylors-assetmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Ascent Financial Consulting Limited,-,No,,,ascentfc.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Godiva Wealth Management Limited,Invalid domain,No,,,godiva-wealth.management
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=2&pl_m=40,Associated Life,-,No,,,associatedlife.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Cartesian Wealth Limited,-,No,1-10,1,cartesianwealth.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Financial Connections Wealth Management Ltd,-,No,,,fcwm.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Craig Saxton,-,No,1-10,2,saxtonfp.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Beaufort Financial Planning (West Midlands) Limited,I - IFA,No,11-50,10,beaufortfinancial.co.uk/birmingham
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,FA92 Wealth Group Ltd,I - IFA,No,201-500,63,fa92group.com
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Finli (FA92) Ltd,I - IFA,No,201-500,61,finli.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Tracey Forster,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/warwickshirewealthmanagement
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,MJB Financial Planning Ltd,-,No,,,mjbfp.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Beauchamp Wealth Limited,-,No,1-10,2,beauchampwealth.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,ROCKWEALTH LEAMINGTON LIMITED,-,No,,,leamingtonifa.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Simpson Financial Services Ltd,-,No,11-50,16,simpsonfs.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Lexicon Wealth Management Limited,-,No,,,lexiconwealth.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Mark Leach Consulting Limited,I - IFA,No,,,markleachconsulting.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Mark Leach Asset Management Limited,I - IFA,No,,,ml-am.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=3&pl_m=40,Alterno Wealth Ltd,I - IFA,No,,,sovereignpc.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=4&pl_m=40,Emma Mortgages Ltd,-,No,,,emmamortgages.co.uk
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=4&pl_m=40,Peter Sumner,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/inchbrookwealth
https://financialadvisers.co.uk/financial-planning/warwick/?pl_p=4&pl_m=40,Bridgegate Wealth Management Ltd,-,No,1-10,5,bridgegatewm.co.uk
