Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Tim Hall,,,,,
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Peter Everitt,,,,,
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Gardiner Page & Roe Personal & Corporate Financial Planning,I - IFA,No,"501-1,000",753,openwork.uk.com
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Benjamin Warren,I - IFA,No,1-10,7,silveroakfs.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Dean Scott,I - IFA,No,,,mendipwm.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,QED Wealth Management Ltd,I - IFA,No,1-10,1,qedwm.com
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Chalice Financial Planning Limited,I - IFA,No,,,chalicefinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,T.M. Pullen,I - IFA,No,,,greendown.org.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Three Wealth Management,I - IFA,No,,,threewealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,ZC Financial Planning,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/zaccambourne
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,ST ANNE'S CAPITAL LIMITED,I - IFA,No,,,stannescapital.com
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Douglas and Young Ltd,I - IFA,No,,,douglasandyoung.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Somerset WM Limited,I - IFA,No,1-10,1,somersetwm.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Meldon & Co Ltd,I - IFA,No,,,meldonandco.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=1&pl_m=40,Moneta Wealth Management Ltd,I - IFA,No,,,monetawealth.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Paul David Streeter,I - IFA,No,201-500,172,first-financial.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Beechcroft Wealth Management,I - IFA,No,,,beechcroftwm.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Jon Cowgill,I - IFA,No,,,cowgillwealthmanagement.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Heritage Financial Consultancy Limited,I - IFA,No,,,heritagefc.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,PG Owen Limited,I - IFA,No,11-50,10,pgtax.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Waterhouse Financial Advisers Ltd,I - IFA,No,11-50,9,waterhousefa.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Apollo Financial Planning Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Buxton Beresford Financial Planning Ltd,I - IFA,No,1,,buxtonberesford.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Robert Edwin Keyte,,,,,
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Willow Brook Mortgages Limited,I - IFA,No,1-10,5,willowbrookmortgages.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,DJS Wealth Adviser LLP,I - IFA,No,,3,djswealthadviser.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Churchill Investments Plc,I - IFA,No,11-50,5,churchillinvestments.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,William Human,I - IFA,No,,,willhuman.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Star House Financial Services Limited,I - IFA,No,1-10,8,star-house.co.uk
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=2&pl_m=40,Stepping Stones Financial Advisers Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/wells/?pl_p=3&pl_m=40,Find Peace of Mind Ltd,I - IFA,No,1-10,3,findpeaceofmind.co.uk
