Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Hazelton Mountford Jefferies Limited,I - IFA,No,,,hmjfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Union Financial Planning Ltd,I - IFA,No,,,unionfp.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,4U2B Limited,,,,,
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Financial Advice Centre Limited,I - IFA,No,11-50,17,face-uk.com
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Taurus Wealth Management Limited,I - IFA,No,1-10,5,tauruswealth.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,EVA Capital Management Limited,I - IFA,No,1-10,7,evacapital.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Kind Wealth Ltd,I - IFA,No,1-10,7,kindwealth.com
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Vinco Wealth Management Ltd,I - IFA,No,11-50,3,vincowealth.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Bespoke-Advice Limited,I - IFA,No,11-50,23,bespoke-advice.com
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Britannic Place Financial Management Limited,I - IFA,No,1-10,7,britannicplace.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Adrian Yates,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514,sjpp.co.uk/adrianyates
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Suckling Waddington & Partners,I - IFA,No,11-50,5,sucklingwaddington.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Merlin Financial Services Limited,I - IFA,No,1-10,11,merlinfs.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Lee Newton Financial Services,,,,,
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=1&pl_m=40,Medical Assurance Bureau (Midlands) Ltd,I - IFA,No,,1,medicalassurancebureau.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Temple Bar Independent Financial Advice Limited,I - IFA,No,1-10,1,templebar.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Feldon Wealth Management Limited,I - IFA,No,,,feldonwealth.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Athena Financial Planning Limited,I - IFA,No,,,athenafp.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,James Windsor,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/jameswindsor
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,The Money Clinic Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,William Chalice Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Financial Gravity Limited,,,,,
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Jo Potts Financial Planning Limited,I - IFA,No,,3,jopottsfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Deborah Waltier,I - IFA,No,,,deborahwaltier.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Hawthorn Wealth Management Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Finance 21 Ltd,I - IFA,No,,,finance21.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Hampton James Financial Associates Limited,I - IFA,No,,,hamptonjamesfa.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Harman Smith Wealth Management,I - IFA,No,,,harmansmith.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Jan Oliff Financial Planning Limited,I - IFA,No,,,oliff.info
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=2&pl_m=40,Lee Strathy Limited,I - IFA,No,1-10,,leestrathy.com
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Joanne Hill,Invalid domain,No,,,partnership.sjp.co.ukjoannehillpartnerjoannehill
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Fresh Approach Financial Planning Limited,I - IFA,No,1-10,2,freshapproach-fp.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Oakley Independent Advisers Limited,,,,,
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Jane Newman Financial Planning Ltd,I - IFA,No,1-10,6,janenewmanfp.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Bamford Wealth Management Ltd,I - IFA,No,,,bamfordfp.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Sean Jones Wealth Management Limited,I - IFA,No,201-500,323,2plan.com
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,MALBURY FINANCIAL PLANNING LIMITED,I - IFA,No,,,malbury.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Arden Associates (IFA) LLP,I - IFA,No,1-10,5,ardenassociates.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Sentio Insurance Brokers Limited,I - IFA,No,1-10,14,sentioinsurance.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,WLS Financial Services Limited,I - IFA,No,,,wlsfinancialservices.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,SN Financial Services Ltd,I - IFA,No,11-50,12,snfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Prosser Knowles Associates Ltd,I - IFA,No,11-50,26,prosserknowles.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,KMPK Wealth Management Limited,I - IFA,No,11-50,26,prosserknowles.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Griffiths Marshall Wealth Management Limited,I - IFA,No,11-50,26,prosserknowles.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=3&pl_m=40,Form Financial Clarity Limited,I - IFA,No,11-50,11,formfinancialclarity.co.uk
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=4&pl_m=40,Ballards FS Limited,I - IFA,No,51-200,120,ballardsca.com
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=4&pl_m=40,Julian Paul Marshall,,,,,
https://financialadvisers.co.uk/financial-planning/worcester/?pl_p=4&pl_m=40,Kendall Wadley Wealth Limited,I - IFA,No,,,wealth-group.co.uk
