Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Minster Financial Planning Ltd,I - IFA,No,,,minsterfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Fulcrum Financial Ltd,I - IFA,No,1-10,4,fulcrumfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Companion Financial Planning LLP,I - IFA,No,,1,companionfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,HGH Wealth Management Limited,I - IFA,No,1-10,4,hghwealth.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,J Illingworth & Co Limited,I - IFA,No,11-50,5,illingworths.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Mainestream Financial Services Ltd,I - IFA,No,,49,mortgageadviceservice.com
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Ware & Kay Financial Services Ltd,I - IFA,No,,,warekayfs.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Practice Financial Management Ltd,I - IFA,No,11-50,14,pfmdental.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,AWM-IFA LTD,I - IFA,No,,,awm-ifa.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Walker Crips Financial Planning Limited,I - DFM without Centralised Research; I - IFA,No,201-500,219,wcgplc.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Ardent IFA Limited,I - IFA,No,11-50,9,ardentuk.com
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Charles Wilkinson Financial Planning Limited,I - IFA,No,,,cwfp.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Fortus Wealth Management (North) Limited,I - IFA,No,201-500,97,fortus.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Holgate Financial Planning,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/holgatefinancialplanning
https://financialadvisers.co.uk/financial-planning/york/?pl_p=1&pl_m=40,Sharp Financial Planning Ltd,I - IFA,No,201-500,323,2plan.com
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,Purely Financial Ltd,I - IFA,No,1-10,5,purelypensions.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,Itineris Solutions Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,Atkinson Powell Financial Management LLP,I - IFA,No,,,atkinsonpowell.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,Joanne Mary Gott,I - IFA,No,1-10,2,joannegottassociates.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,StanfordRhodes Wealth Management Ltd,I - IFA,No,,,stanfordrhodes.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,WDS Wealth Management Ltd,I - IFA,No,51-200,54,walterdawson.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,Grosvenor Wealth Ltd,I - IFA,No,11-50,3,gwyork.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,P J Clifton Financial Services,I - IFA,No,,3,pjcliftonfs.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,WealthWave Financial LLP,I - IFA,No,,,wealthwavefinancial.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,MAP Financial Planning Ltd,I - IFA,No,1-10,3,mapfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,Darren Kenny,I - DFM without Centralised Research; I - IFA,No,"1,001-5,000",3514,sjpp.co.uk/darrenkenny
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,Pen-Life Associates Limited,I - IFA,No,11-50,26,pen-life.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,Partnership Financial Planning Limited,I - IFA,No,,,partnershipfp.co.uk
https://financialadvisers.co.uk/financial-planning/york/?pl_p=2&pl_m=40,Huntington Ross Limited,I - IFA,No,1-10,7,huntingtonross.co.uk
