Sector,Town,Total_pages
financial-planning,oakham,51
financial-planning,shrewsbury,39
financial-planning,somerton,47
financial-planning,taunton,39
financial-planning,ilchester-ba22,45
financial-planning,bath,57
financial-planning,wells,49
financial-planning,ipswich,27
financial-planning,guildford,220
financial-planning,lewes,64
financial-planning,chichester,56
financial-planning,horsham,196
financial-planning,warwick,75
financial-planning,appleby-in-westmorland,9
financial-planning,wilton,49
financial-planning,trowbridge,51
financial-planning,salisbury,48
financial-planning,devizes,56
financial-planning,worcester,57
financial-planning,york,47
financial-planning,kingston-upon-hull,17
financial-planning,aberdeen,6
financial-planning,lochgilphead-ceann-loch-gilb,3
financial-planning,inveraray,8
financial-planning,ayr,24
financial-planning,banff,6
financial-planning,duns,14
financial-planning,rothesay,21
financial-planning,alloa,41
financial-planning,cromarty,3
financial-planning,dumfries,4
financial-planning,dumbarton,27
financial-planning,haddington,20
financial-planning,cupar,21
financial-planning,inverness,2
financial-planning,stonehaven,5
financial-planning,kinross,28
financial-planning,kirkcudbright,3
financial-planning,lanark,39
financial-planning,edinburgh,26
financial-planning,elgin,3
financial-planning,nairn,3
financial-planning,peebles,21
financial-planning,perth,21
financial-planning,renfrew,29
financial-planning,dingwall,2
financial-planning,jedburgh,5
financial-planning,selkirk,15
financial-planning,dornoch,2
financial-planning,linlithgow,40
financial-planning,wigtown,2
financial-planning,llangefni,4
financial-planning,cardiff,47
financial-planning,derry-londonderry,3
financial-planning,omagh,3
financial-planning,antrim,15
financial-planning,armagh,13
financial-planning,enniskillen,2
financial-planning,saintfield-bt24,14
